feature,importance,model,importance_type,rank
Feature_17,0.7157911819564517,GradientBoostingRegressor,feature_importances_,1
Feature_18,0.1648042111796294,GradientBoostingRegressor,feature_importances_,2
Feature_1,0.028426347035549467,GradientBoostingRegressor,feature_importances_,3
Feature_46,0.025235824807479598,GradientBoostingRegressor,feature_importances_,4
Feature_20,0.009107879473187083,GradientBoostingRegressor,feature_importances_,5
Feature_57,0.006515548850489634,GradientBoostingRegressor,feature_importances_,6
Feature_92,0.005014952564281437,GradientBoostingRegressor,feature_importances_,7
Feature_55,0.004647585195472266,GradientBoostingRegressor,feature_importances_,8
Feature_72,0.0037407045927080286,GradientBoostingRegressor,feature_importances_,9
Feature_29,0.003598246987925579,GradientBoostingRegressor,feature_importances_,10
Feature_31,0.0032551575734823873,GradientBoostingRegressor,feature_importances_,11
Feature_89,0.0023679415046591584,GradientBoostingRegressor,feature_importances_,12
Feature_19,0.001907535313169271,GradientBoostingRegressor,feature_importances_,13
Feature_16,0.0019063594237510404,GradientBoostingRegressor,feature_importances_,14
Feature_86,0.001685964128573432,GradientBoostingRegressor,feature_importances_,15
Feature_32,0.0015862508427598894,GradientBoostingRegressor,feature_importances_,16
Feature_26,0.0015847783535558398,GradientBoostingRegressor,feature_importances_,17
Feature_40,0.0015571204938213071,GradientBoostingRegressor,feature_importances_,18
Feature_87,0.0015554551112275895,GradientBoostingRegressor,feature_importances_,19
Feature_44,0.0014052284338005193,GradientBoostingRegressor,feature_importances_,20
Feature_52,0.0012519689139505674,GradientBoostingRegressor,feature_importances_,21
Feature_93,0.000998355418100545,GradientBoostingRegressor,feature_importances_,22
Feature_22,0.0009659386861262895,GradientBoostingRegressor,feature_importances_,23
Feature_76,0.0009244698745831297,GradientBoostingRegressor,feature_importances_,24
Feature_27,0.000852189494488588,GradientBoostingRegressor,feature_importances_,25
Feature_59,0.0008432693587467486,GradientBoostingRegressor,feature_importances_,26
Feature_74,0.0006829248742451189,GradientBoostingRegressor,feature_importances_,27
Feature_81,0.0006127699706702625,GradientBoostingRegressor,feature_importances_,28
Feature_56,0.0006093362125883622,GradientBoostingRegressor,feature_importances_,29
Feature_80,0.0005974029745379854,GradientBoostingRegressor,feature_importances_,30
Feature_61,0.0005535450156636664,GradientBoostingRegressor,feature_importances_,31
Feature_33,0.0004909680344257785,GradientBoostingRegressor,feature_importances_,32
Feature_49,0.0004608255845201151,GradientBoostingRegressor,feature_importances_,33
Feature_73,0.0004451307697887627,GradientBoostingRegressor,feature_importances_,34
Feature_6,0.0004309935195501756,GradientBoostingRegressor,feature_importances_,35
Feature_50,0.0003690855735258609,GradientBoostingRegressor,feature_importances_,36
Feature_83,0.0003042282926704912,GradientBoostingRegressor,feature_importances_,37
Feature_21,0.0002802348155085859,GradientBoostingRegressor,feature_importances_,38
Feature_14,0.0002507293260819167,GradientBoostingRegressor,feature_importances_,39
Feature_35,0.00024008660186933175,GradientBoostingRegressor,feature_importances_,40
Feature_34,0.0002394958602578565,GradientBoostingRegressor,feature_importances_,41
Feature_62,0.00023740696763753795,GradientBoostingRegressor,feature_importances_,42
Feature_84,0.00017758240215955375,GradientBoostingRegressor,feature_importances_,43
Feature_37,0.00017125844622688984,GradientBoostingRegressor,feature_importances_,44
Feature_78,0.00016470047216336046,GradientBoostingRegressor,feature_importances_,45
Feature_77,0.00015886200553296442,GradientBoostingRegressor,feature_importances_,46
Feature_45,0.0001307602275956742,GradientBoostingRegressor,feature_importances_,47
Feature_39,0.00012831464608151465,GradientBoostingRegressor,feature_importances_,48
Feature_82,0.0001137474510431776,GradientBoostingRegressor,feature_importances_,49
Feature_79,9.995172092547854e-05,GradientBoostingRegressor,feature_importances_,50
Feature_42,9.334839268176879e-05,GradientBoostingRegressor,feature_importances_,51
Feature_71,8.812679935491539e-05,GradientBoostingRegressor,feature_importances_,52
Feature_68,7.28626873690387e-05,GradientBoostingRegressor,feature_importances_,53
Feature_60,6.849662679324552e-05,GradientBoostingRegressor,feature_importances_,54
Feature_70,6.478162403911014e-05,GradientBoostingRegressor,feature_importances_,55
Feature_43,6.472520623653901e-05,GradientBoostingRegressor,feature_importances_,56
Feature_69,4.943449366762536e-05,GradientBoostingRegressor,feature_importances_,57
