feature,importance,model,importance_type,rank
Feature_38,3119.295831063737,Lasso,coef_ (absolute values),1
Feature_37,1880.153560010858,Lasso,coef_ (absolute values),2
Feature_0,1462.3742407137524,Lasso,coef_ (absolute values),3
Feature_74,893.3734611637152,Lasso,coef_ (absolute values),4
Feature_118,653.9503155269646,Lasso,coef_ (absolute values),5
Feature_106,612.9306979677177,Lasso,coef_ (absolute values),6
Feature_79,535.009094808193,Lasso,coef_ (absolute values),7
Feature_110,533.5267282491283,Lasso,coef_ (absolute values),8
Feature_84,493.42403063697316,Lasso,coef_ (absolute values),9
Feature_86,487.13958195627447,Lasso,coef_ (absolute values),10
Feature_89,468.2104200809725,Lasso,coef_ (absolute values),11
Feature_51,466.5961730323724,Lasso,coef_ (absolute values),12
Feature_91,458.5740653271653,Lasso,coef_ (absolute values),13
Feature_41,402.4755274895109,Lasso,coef_ (absolute values),14
Feature_105,395.69488749154476,Lasso,coef_ (absolute values),15
Feature_117,390.66135643291557,Lasso,coef_ (absolute values),16
Feature_101,373.14225667538034,Lasso,coef_ (absolute values),17
Feature_115,365.5523991068993,Lasso,coef_ (absolute values),18
Feature_67,360.35056599468317,Lasso,coef_ (absolute values),19
Feature_57,356.56797862581544,Lasso,coef_ (absolute values),20
Feature_108,353.36916262902247,Lasso,coef_ (absolute values),21
Feature_90,335.30448340346294,Lasso,coef_ (absolute values),22
Feature_39,322.4971389042431,Lasso,coef_ (absolute values),23
Feature_70,318.5797626017154,Lasso,coef_ (absolute values),24
Feature_61,314.49693470772775,Lasso,coef_ (absolute values),25
Feature_76,281.0483217422582,Lasso,coef_ (absolute values),26
Feature_40,278.96401539728487,Lasso,coef_ (absolute values),27
Feature_49,277.8383599731807,Lasso,coef_ (absolute values),28
Feature_102,274.8678447714562,Lasso,coef_ (absolute values),29
Feature_81,273.6966369207567,Lasso,coef_ (absolute values),30
Feature_119,270.7213592042547,Lasso,coef_ (absolute values),31
Feature_16,260.6466930862423,Lasso,coef_ (absolute values),32
Feature_98,253.80212271083633,Lasso,coef_ (absolute values),33
Feature_100,251.58397146559483,Lasso,coef_ (absolute values),34
Feature_96,239.8157470109465,Lasso,coef_ (absolute values),35
Feature_103,229.16549768118614,Lasso,coef_ (absolute values),36
Feature_92,226.85134991903274,Lasso,coef_ (absolute values),37
Feature_93,226.4590804356382,Lasso,coef_ (absolute values),38
Feature_20,218.0421284446324,Lasso,coef_ (absolute values),39
Feature_66,212.131307189024,Lasso,coef_ (absolute values),40
Feature_7,209.6435633125565,Lasso,coef_ (absolute values),41
Feature_8,205.11165921302535,Lasso,coef_ (absolute values),42
Feature_69,202.69950890398303,Lasso,coef_ (absolute values),43
Feature_122,202.3764924311454,Lasso,coef_ (absolute values),44
Feature_114,201.69282470247487,Lasso,coef_ (absolute values),45
Feature_85,201.2349130626702,Lasso,coef_ (absolute values),46
Feature_95,173.41523902316828,Lasso,coef_ (absolute values),47
Feature_12,172.34207379446218,Lasso,coef_ (absolute values),48
Feature_53,166.26980487025781,Lasso,coef_ (absolute values),49
Feature_120,163.75034190204534,Lasso,coef_ (absolute values),50
Feature_65,153.74998569211564,Lasso,coef_ (absolute values),51
Feature_11,151.69476103584202,Lasso,coef_ (absolute values),52
Feature_15,148.20631897967647,Lasso,coef_ (absolute values),53
Feature_17,145.93331267657294,Lasso,coef_ (absolute values),54
Feature_80,140.76288349377552,Lasso,coef_ (absolute values),55
Feature_94,136.011471250832,Lasso,coef_ (absolute values),56
Feature_71,130.06372390319632,Lasso,coef_ (absolute values),57
Feature_46,120.98792723219769,Lasso,coef_ (absolute values),58
Feature_99,120.52902720851885,Lasso,coef_ (absolute values),59
Feature_58,117.53446276858037,Lasso,coef_ (absolute values),60
Feature_62,116.96028547469845,Lasso,coef_ (absolute values),61
Feature_13,114.32911306790946,Lasso,coef_ (absolute values),62
Feature_24,110.44615475398702,Lasso,coef_ (absolute values),63
Feature_14,106.20743452324275,Lasso,coef_ (absolute values),64
Feature_19,103.89636544039931,Lasso,coef_ (absolute values),65
Feature_113,103.76925252353435,Lasso,coef_ (absolute values),66
Feature_25,80.09439582657919,Lasso,coef_ (absolute values),67
Feature_54,77.61730658706097,Lasso,coef_ (absolute values),68
Feature_1,75.87978900773969,Lasso,coef_ (absolute values),69
Feature_109,75.73281640085108,Lasso,coef_ (absolute values),70
Feature_5,75.14859301906267,Lasso,coef_ (absolute values),71
Feature_18,72.70018429394794,Lasso,coef_ (absolute values),72
Feature_82,69.05489549420462,Lasso,coef_ (absolute values),73
Feature_28,68.53252785648904,Lasso,coef_ (absolute values),74
Feature_87,63.705739283828024,Lasso,coef_ (absolute values),75
Feature_111,63.487417540472194,Lasso,coef_ (absolute values),76
Feature_36,63.29196995448836,Lasso,coef_ (absolute values),77
Feature_26,60.364741296499126,Lasso,coef_ (absolute values),78
Feature_88,59.95232841914784,Lasso,coef_ (absolute values),79
Feature_104,59.566811159305274,Lasso,coef_ (absolute values),80
Feature_21,59.376571353434734,Lasso,coef_ (absolute values),81
Feature_45,58.888413858704176,Lasso,coef_ (absolute values),82
Feature_35,58.69081100062129,Lasso,coef_ (absolute values),83
Feature_44,57.51101537772819,Lasso,coef_ (absolute values),84
Feature_29,56.14376700689396,Lasso,coef_ (absolute values),85
Feature_59,56.13225869357896,Lasso,coef_ (absolute values),86
Feature_97,55.057638464016634,Lasso,coef_ (absolute values),87
Feature_47,51.142467148898035,Lasso,coef_ (absolute values),88
Feature_3,49.47512691295071,Lasso,coef_ (absolute values),89
Feature_56,47.73287140689575,Lasso,coef_ (absolute values),90
Feature_52,47.383900928961346,Lasso,coef_ (absolute values),91
Feature_42,46.526942703684625,Lasso,coef_ (absolute values),92
Feature_121,44.66432472195055,Lasso,coef_ (absolute values),93
Feature_4,42.7901981233713,Lasso,coef_ (absolute values),94
Feature_60,42.61099500513024,Lasso,coef_ (absolute values),95
Feature_10,39.95698272424572,Lasso,coef_ (absolute values),96
Feature_43,35.60140775415462,Lasso,coef_ (absolute values),97
Feature_30,34.02367756975667,Lasso,coef_ (absolute values),98
Feature_107,33.95368752107746,Lasso,coef_ (absolute values),99
Feature_55,31.928069681907914,Lasso,coef_ (absolute values),100
Feature_72,31.67893316035937,Lasso,coef_ (absolute values),101
Feature_33,28.804018500502806,Lasso,coef_ (absolute values),102
Feature_64,27.893787881418785,Lasso,coef_ (absolute values),103
Feature_83,23.840834730675986,Lasso,coef_ (absolute values),104
Feature_75,18.087607081325398,Lasso,coef_ (absolute values),105
Feature_48,17.809845391990375,Lasso,coef_ (absolute values),106
Feature_78,11.749120222228319,Lasso,coef_ (absolute values),107
Feature_50,10.097416931746125,Lasso,coef_ (absolute values),108
Feature_112,8.230300536198223,Lasso,coef_ (absolute values),109
Feature_23,6.067450314488788,Lasso,coef_ (absolute values),110
Feature_77,5.141176782580399,Lasso,coef_ (absolute values),111
Feature_34,4.106893372915465,Lasso,coef_ (absolute values),112
Feature_63,0.6369299027647107,Lasso,coef_ (absolute values),113
Feature_116,0.25401336955537407,Lasso,coef_ (absolute values),114
Feature_31,0.0,Lasso,coef_ (absolute values),115
Feature_6,0.0,Lasso,coef_ (absolute values),116
Feature_22,0.0,Lasso,coef_ (absolute values),117
Feature_73,0.0,Lasso,coef_ (absolute values),118
Feature_2,0.0,Lasso,coef_ (absolute values),119
Feature_27,0.0,Lasso,coef_ (absolute values),120
Feature_32,0.0,Lasso,coef_ (absolute values),121
Feature_9,0.0,Lasso,coef_ (absolute values),122
Feature_68,0.0,Lasso,coef_ (absolute values),123
