feature,importance,model,importance_type,rank
project_prf_functional_size,788.0710613507899,BayesianRidge,coef_ (absolute values),1
project_prf_year_of_project,176.5151974883095,BayesianRidge,coef_ (absolute values),2
project_prf_relative_size_s,144.01268842435232,BayesianRidge,coef_ (absolute values),3
project_prf_relative_size_m1,136.7482496551694,BayesianRidge,coef_ (absolute values),4
tech_tf_architecture_multi_tier,134.02715984469648,BayesianRidge,coef_ (absolute values),5
tech_tf_primary_programming_language,120.19265000334032,BayesianRidge,coef_ (absolute values),6
tech_tf_architecture_missing,117.9005932182499,BayesianRidge,coef_ (absolute values),7
tech_tf_architecture_multi_tier_with_web_public_interface,109.03970846721607,BayesianRidge,coef_ (absolute values),8
tech_tf_language_type_4gl,108.95864040898434,BayesianRidge,coef_ (absolute values),9
project_prf_application_type,101.89960705217133,BayesianRidge,coef_ (absolute values),10
tech_tf_language_type_3gl,93.26700861558523,BayesianRidge,coef_ (absolute values),11
project_prf_application_group_business_application,89.29690699685628,BayesianRidge,coef_ (absolute values),12
project_prf_relative_size_missing,74.21090592829437,BayesianRidge,coef_ (absolute values),13
process_pmf_development_methodologies_agile_development,73.48510384074537,BayesianRidge,coef_ (absolute values),14
tech_tf_development_platform_pc,64.89104330913678,BayesianRidge,coef_ (absolute values),15
external_eef_data_quality_rating_a,59.27757179829602,BayesianRidge,coef_ (absolute values),16
external_eef_organisation_type_media,58.447248893126215,BayesianRidge,coef_ (absolute values),17
project_prf_relative_size_xxs,58.097541536393734,BayesianRidge,coef_ (absolute values),18
process_pmf_docs,55.991321090125865,BayesianRidge,coef_ (absolute values),19
functional_size_group_s_100,54.373986813081956,BayesianRidge,coef_ (absolute values),20
tech_tf_architecture_client_server,48.26590226729172,BayesianRidge,coef_ (absolute values),21
tech_tf_development_platform_missing,47.47824820002317,BayesianRidge,coef_ (absolute values),22
tech_tf_tools_used,46.58076329132311,BayesianRidge,coef_ (absolute values),23
project_prf_development_type_new_development,45.3181630549949,BayesianRidge,coef_ (absolute values),24
project_prf_application_group_missing,43.527371691614164,BayesianRidge,coef_ (absolute values),25
process_pmf_development_methodologies_missing,42.98850440835565,BayesianRidge,coef_ (absolute values),26
tech_tf_development_platform_multi,42.217976591303575,BayesianRidge,coef_ (absolute values),27
external_eef_organisation_type_communications,38.90839968253984,BayesianRidge,coef_ (absolute values),28
project_prf_application_group_real_time_application,38.667164727475985,BayesianRidge,coef_ (absolute values),29
external_eef_organisation_type_telecommunication,38.298020643275045,BayesianRidge,coef_ (absolute values),30
tech_tf_language_type_missing,34.253265882345545,BayesianRidge,coef_ (absolute values),31
project_prf_development_type_enhancement,33.20508035925597,BayesianRidge,coef_ (absolute values),32
tech_tf_dbms_used_missing,32.42298318416608,BayesianRidge,coef_ (absolute values),33
project_prf_case_tool_used_no,32.253017250903746,BayesianRidge,coef_ (absolute values),34
tech_tf_development_platform_mr,30.37680135164123,BayesianRidge,coef_ (absolute values),35
project_prf_relative_size_l,28.10298001032902,BayesianRidge,coef_ (absolute values),36
tech_tf_development_platform_mf,28.087892213299043,BayesianRidge,coef_ (absolute values),37
project_prf_case_tool_used_yes,26.204348368974276,BayesianRidge,coef_ (absolute values),38
external_eef_organisation_type_telecommunications,24.172555068553702,BayesianRidge,coef_ (absolute values),39
project_prf_max_team_size,23.602044039899287,BayesianRidge,coef_ (absolute values),40
tech_tf_dbms_used_no,23.22012549638147,BayesianRidge,coef_ (absolute values),41
external_eef_organisation_type_virtual_assistants_lingubots,21.193475127364003,BayesianRidge,coef_ (absolute values),42
tech_tf_client_server_no,20.997191008968738,BayesianRidge,coef_ (absolute values),43
project_prf_relative_size_xs,20.868354743419708,BayesianRidge,coef_ (absolute values),44
tech_tf_architecture_stand_alone,19.886637484108128,BayesianRidge,coef_ (absolute values),45
process_pmf_development_methodologies_timeboxing,19.565799243299928,BayesianRidge,coef_ (absolute values),46
project_prf_team_size_group_21_30,18.012945169037682,BayesianRidge,coef_ (absolute values),47
process_pmf_development_methodologies_rapid_application_development_rad,17.649709370549495,BayesianRidge,coef_ (absolute values),48
process_pmf_prototyping_used_yes,15.756009783983743,BayesianRidge,coef_ (absolute values),49
tech_tf_development_platform_hand_held,14.765720199179672,BayesianRidge,coef_ (absolute values),50
external_eef_organisation_type_general_public_mobile_phone_end_user,13.296027430977293,BayesianRidge,coef_ (absolute values),51
project_prf_team_size_group_3_4,12.671304718929253,BayesianRidge,coef_ (absolute values),52
process_pmf_development_methodologies_it_unified_process_itup,12.400806327673992,BayesianRidge,coef_ (absolute values),53
tech_tf_client_server_yes,11.65899501536204,BayesianRidge,coef_ (absolute values),54
project_prf_development_type_re_development,11.260455643719663,BayesianRidge,coef_ (absolute values),55
tech_tf_client_server_missing,10.569475660230449,BayesianRidge,coef_ (absolute values),56
project_prf_relative_size_m2,10.316333379486295,BayesianRidge,coef_ (absolute values),57
project_prf_team_size_group_2,10.231827909657394,BayesianRidge,coef_ (absolute values),58
project_prf_team_size_group_missing,8.658978750476749,BayesianRidge,coef_ (absolute values),59
functional_size_group_m_100_999,8.627629296929086,BayesianRidge,coef_ (absolute values),60
external_eef_organisation_type_telecom_and_networking,7.790880214203112,BayesianRidge,coef_ (absolute values),61
tech_tf_language_type_2gl,7.756872332755819,BayesianRidge,coef_ (absolute values),62
project_prf_case_tool_used_missing,6.910855717632948,BayesianRidge,coef_ (absolute values),63
