feature,importance,model,importance_type,rank
Feature_3,1995.7475067029684,LassoLars,coef_ (absolute values),1
Feature_27,219.2567716853928,LassoLars,coef_ (absolute values),2
Feature_26,149.93389413310086,LassoLars,coef_ (absolute values),3
Feature_55,136.6558658977999,LassoLars,coef_ (absolute values),4
Feature_39,134.67922518306048,LassoLars,coef_ (absolute values),5
Feature_35,120.43882307410689,LassoLars,coef_ (absolute values),6
Feature_53,114.12802056730166,LassoLars,coef_ (absolute values),7
Feature_31,113.48943440979974,LassoLars,coef_ (absolute values),8
Feature_56,101.18252778783024,LassoLars,coef_ (absolute values),9
Feature_73,93.22221326103369,LassoLars,coef_ (absolute values),10
Feature_47,87.7701263423126,LassoLars,coef_ (absolute values),11
Feature_44,82.0934271290307,LassoLars,coef_ (absolute values),12
Feature_36,78.75037167305247,LassoLars,coef_ (absolute values),13
Feature_33,70.49439885429253,LassoLars,coef_ (absolute values),14
Feature_41,69.27180859322804,LassoLars,coef_ (absolute values),15
Feature_20,62.56400603788724,LassoLars,coef_ (absolute values),16
Feature_4,60.75582456680853,LassoLars,coef_ (absolute values),17
Feature_54,55.33378967753498,LassoLars,coef_ (absolute values),18
Feature_50,55.31013598546292,LassoLars,coef_ (absolute values),19
Feature_2,52.87511751598914,LassoLars,coef_ (absolute values),20
Feature_46,52.67398297439262,LassoLars,coef_ (absolute values),21
Feature_52,52.47325920078736,LassoLars,coef_ (absolute values),22
Feature_21,51.670757730999995,LassoLars,coef_ (absolute values),23
Feature_70,51.005888416238044,LassoLars,coef_ (absolute values),24
Feature_32,50.36820214748108,LassoLars,coef_ (absolute values),25
Feature_63,48.46046934433929,LassoLars,coef_ (absolute values),26
Feature_59,47.84001598908921,LassoLars,coef_ (absolute values),27
Feature_7,46.48654979077031,LassoLars,coef_ (absolute values),28
Feature_24,44.95527300357886,LassoLars,coef_ (absolute values),29
Feature_8,43.9155236942621,LassoLars,coef_ (absolute values),30
Feature_67,41.914235644939644,LassoLars,coef_ (absolute values),31
Feature_29,40.943717368418675,LassoLars,coef_ (absolute values),32
Feature_18,36.88523300967075,LassoLars,coef_ (absolute values),33
Feature_72,36.53277172941562,LassoLars,coef_ (absolute values),34
Feature_5,35.75700430195932,LassoLars,coef_ (absolute values),35
Feature_43,33.654058554071504,LassoLars,coef_ (absolute values),36
Feature_6,33.289415880483645,LassoLars,coef_ (absolute values),37
Feature_19,31.344755855664467,LassoLars,coef_ (absolute values),38
Feature_62,30.539333934245658,LassoLars,coef_ (absolute values),39
Feature_61,30.029260057674822,LassoLars,coef_ (absolute values),40
Feature_25,28.148412797524898,LassoLars,coef_ (absolute values),41
Feature_0,26.892289887490037,LassoLars,coef_ (absolute values),42
Feature_34,24.68593283676964,LassoLars,coef_ (absolute values),43
Feature_42,21.183156241489574,LassoLars,coef_ (absolute values),44
Feature_58,20.90575918753324,LassoLars,coef_ (absolute values),45
Feature_37,20.503451476705187,LassoLars,coef_ (absolute values),46
Feature_40,19.6891519447633,LassoLars,coef_ (absolute values),47
Feature_12,18.72394069483572,LassoLars,coef_ (absolute values),48
Feature_23,18.47198094646815,LassoLars,coef_ (absolute values),49
Feature_66,16.65848028372087,LassoLars,coef_ (absolute values),50
Feature_14,15.612476860992508,LassoLars,coef_ (absolute values),51
Feature_71,14.737812345223528,LassoLars,coef_ (absolute values),52
Feature_28,13.435945519313364,LassoLars,coef_ (absolute values),53
Feature_11,12.964177310551719,LassoLars,coef_ (absolute values),54
Feature_74,12.538344381531466,LassoLars,coef_ (absolute values),55
Feature_13,12.431840695109916,LassoLars,coef_ (absolute values),56
Feature_69,10.119105173818692,LassoLars,coef_ (absolute values),57
Feature_68,10.090236980628193,LassoLars,coef_ (absolute values),58
Feature_22,10.064094279907184,LassoLars,coef_ (absolute values),59
Feature_1,9.460963800943025,LassoLars,coef_ (absolute values),60
Feature_64,9.38468366383685,LassoLars,coef_ (absolute values),61
Feature_48,9.228076563015504,LassoLars,coef_ (absolute values),62
Feature_9,7.88511176872199,LassoLars,coef_ (absolute values),63
Feature_38,7.317161196637092,LassoLars,coef_ (absolute values),64
Feature_57,6.586602846152559,LassoLars,coef_ (absolute values),65
Feature_65,6.089297576171286,LassoLars,coef_ (absolute values),66
Feature_45,5.316867633675059,LassoLars,coef_ (absolute values),67
Feature_60,4.943917202787296,LassoLars,coef_ (absolute values),68
Feature_51,4.936577939713507,LassoLars,coef_ (absolute values),69
Feature_10,4.6187257845784595,LassoLars,coef_ (absolute values),70
Feature_15,3.4751526865748277,LassoLars,coef_ (absolute values),71
Feature_17,3.025762947137319,LassoLars,coef_ (absolute values),72
Feature_30,2.642034791556238,LassoLars,coef_ (absolute values),73
Feature_76,0.8769855377505406,LassoLars,coef_ (absolute values),74
Feature_16,0.8553276470594111,LassoLars,coef_ (absolute values),75
Feature_75,0.7966491495866013,LassoLars,coef_ (absolute values),76
Feature_49,0.0,LassoLars,coef_ (absolute values),77
