feature,mean_importance
tech_tf_development_platform_mf,-0.00032306289136605144
project_prf_development_type_re_development,-9.137460681945819e-05
tech_tf_language_type_APG,-2.4325412077443042e-05
tech_tf_development_platform_proprietary,0.0
tech_tf_architecture_not_applicable,0.0
tech_tf_development_platform_hand_held,0.0
tech_tf_dbms_used_no,0.0
project_prf_application_group_mathematically_intensive_application,0.0
tech_tf_language_type_5GL,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
tech_tf_architecture_don_t_know,4.629124000851692e-06
project_prf_application_group_real_time_application,1.0644788625337881e-05
project_prf_application_group_mathematically_intensive_application_1,5.7608574768071294e-05
tech_tf_development_platform_pc,0.0001158523852234819
_case_tool_used_no,0.00022723023566831242
tech_tf_development_platform_multi,0.0002824844979994849
tech_tf_language_type_Missing,0.0002995866707553335
_case_tool_used_don_t_know,0.00036568806391832075
project_prf_application_group_business_application,0.0003787098919588512
tech_tf_language_type_4GL,0.000417281483708766
tech_tf_development_platform_mr,0.0004536606572930743
tech_tf_dbms_used_yes,0.000567124715643548
tech_tf_architecture_yes,0.000657934285992079
process_pmf_development_methodologies,0.000665559924748322
tech_tf_architecture_no,0.0007729504638404938
_case_tool_used_yes,0.0007932972949729389
project_prf_development_type_new_development,0.0008108102816399197
tech_tf_tools_used,0.0011496905461298424
tech_tf_language_type_3GL,0.001566250942311226
tech_tf_primary_programming_language,0.0020314926008184664
external_eef_data_quality_rating_b,0.002518796333823433
project_prf_application_type,0.003109732673366422
process_pmf_docs,0.0031971206154153852
project_prf_team_size_group,0.0033851380642904564
external_eef_industry_sector,0.003629141340207804
project_prf_year_of_project,0.007992571391498369
external_eef_organisation_type,0.009815010491823418
project_prf_max_team_size,0.013681189021274586
project_prf_relative_size,0.014948514200902808
project_prf_functional_size,0.039706034964584316
project_prf_normalised_work_effort_level_1,1.4538651183786737
