feature,mean_importance
external_eef_organisation_type,-6818260582.4
project_prf_application_type,-5476083302.4
tech_tf_language_type_Missing,-4281545523.2
project_prf_team_size_group,-2966211788.8
tech_tf_development_platform_mf,-2778306969.6
project_prf_development_type_re_development,-2644089241.6
tech_tf_language_type_3GL,-1885759078.4
tech_tf_language_type_4GL,-1677721600.0
project_prf_max_team_size,-1543503872.0
tech_tf_architecture_don_t_know,-1516660326.4
project_prf_development_type_new_development,-1449551462.4
project_prf_year_of_project,-1295201075.2
_case_tool_used_no,-1154272460.8
tech_tf_architecture_yes,-932813209.6
_case_tool_used_yes,-785173708.8
_case_tool_used_don_t_know,-570425344.0
tech_tf_primary_programming_language,-67108864.0
tech_tf_development_platform_multi,-67108864.0
tech_tf_tools_used,0.0
tech_tf_architecture_not_applicable,0.0
tech_tf_architecture_no,0.0
tech_tf_language_type_APG,0.0
tech_tf_development_platform_mr,0.0
tech_tf_development_platform_pc,0.0
tech_tf_development_platform_hand_held,0.0
external_eef_data_quality_rating_b,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_mathematically_intensive_application_1,0.0
tech_tf_dbms_used_no,0.0
project_prf_application_group_real_time_application,0.0
process_pmf_docs,53687091.2
tech_tf_dbms_used_yes,872415232.0
project_prf_application_group_business_application,4060086272.0
external_eef_industry_sector,4596957184.0
process_pmf_development_methodologies,5348576460.8
project_prf_normalised_work_effort_level_1,9442217164.8
project_prf_relative_size,19830669312.0
project_prf_functional_size,20723217203.2
tech_tf_development_platform_proprietary,9.954261697969135e+23
tech_tf_language_type_5GL,9.954261697970313e+23
