feature,shap_importance
project_prf_relative_size,0.3114296346373958
project_prf_normalised_work_effort_level_1,0.1303954646707531
tech_tf_language_type_3GL,0.13015441371394573
process_pmf_development_methodologies,0.12083636833819694
project_prf_max_team_size,0.11494725656949958
project_prf_development_type_new_development,0.0884322534250167
tech_tf_language_type_Missing,0.08793953055623263
external_eef_organisation_type,0.08222544440863763
project_prf_functional_size,0.07341410055541475
tech_tf_development_platform_mf,0.06464304969278943
project_prf_application_type,0.05593341633355941
tech_tf_language_type_4GL,0.05497890682835247
tech_tf_architecture_yes,0.05153983578084552
external_eef_industry_sector,0.048071602880601534
project_prf_application_group_business_application,0.043640365817352506
_case_tool_used_no,0.03998917701323535
project_prf_team_size_group,0.03157409325748822
project_prf_year_of_project,0.030829205698838378
tech_tf_dbms_used_yes,0.03035233243644255
tech_tf_development_platform_pc,0.027150706511566047
_case_tool_used_yes,0.021406092331427453
tech_tf_architecture_don_t_know,0.01842867592010201
external_eef_data_quality_rating_b,0.016295702275471453
tech_tf_development_platform_mr,0.012905821341557273
process_pmf_docs,0.011674069828866259
project_prf_application_group_mathematically_intensive_application_1,0.011019851633460802
tech_tf_development_platform_proprietary,0.009329323661346381
project_prf_development_type_re_development,0.008653926917659026
tech_tf_language_type_APG,0.0076226190104361925
project_prf_application_group_real_time_application,0.007083795274262673
tech_tf_tools_used,0.005701271353802882
tech_tf_dbms_used_no,0.004676186840354766
project_prf_application_group_infrastructure_software,0.004218968678212351
tech_tf_primary_programming_language,0.0038102729718542494
tech_tf_language_type_5GL,0.0024585735320019264
_case_tool_used_don_t_know,0.0021499112725620914
tech_tf_development_platform_multi,0.0005529371810965884
tech_tf_architecture_not_applicable,0.00044876736211876974
project_prf_application_group_mathematically_intensive_application,0.0001586113895685903
tech_tf_architecture_no,1.704631663871977e-05
project_prf_application_group_business_application__infrastructure_software,5.444855007743701e-20
tech_tf_development_platform_hand_held,3.108087793407201e-20
