feature,shap_importance
project_prf_normalised_work_effort_level_1,0.6168546448503824
project_prf_relative_size,0.1069665569163003
project_prf_functional_size,0.06651209790309494
project_prf_max_team_size,0.03896875502512265
external_eef_organisation_type,0.010298853277787507
project_prf_year_of_project,0.008293358189853417
external_eef_industry_sector,0.005538590354941212
project_prf_development_type_new_development,0.004661529927666186
project_prf_application_group_business_application,0.004178760610809096
process_pmf_docs,0.003874558425294111
project_prf_team_size_group,0.0032029972486700216
project_prf_application_type,0.0021099219318747
tech_tf_development_platform_mf,0.0015521564526678707
tech_tf_primary_programming_language,0.0010776173840460917
tech_tf_dbms_used_yes,0.0008765924466764782
tech_tf_development_platform_multi,0.0008495579880449733
tech_tf_development_platform_pc,0.00043112680704269894
external_eef_data_quality_rating_b,0.0004108239899379154
tech_tf_architecture_no,0.0003501664031593131
tech_tf_tools_used,0.0003426304040246795
process_pmf_development_methodologies,0.00031907274974150195
tech_tf_language_type_3GL,0.00028919968174556334
project_prf_development_type_re_development,0.00016711648521719499
tech_tf_language_type_5GL,0.00015485357680945457
tech_tf_language_type_4GL,0.00013577542165485736
_case_tool_used_yes,0.00013219611380992468
project_prf_application_group_real_time_application,0.00012409088502051695
tech_tf_development_platform_proprietary,0.00010276167526780353
tech_tf_language_type_Missing,8.310318287313315e-05
tech_tf_language_type_APG,7.721605774579031e-05
_case_tool_used_don_t_know,1.720087363021951e-05
tech_tf_architecture_don_t_know,0.0
tech_tf_dbms_used_no,0.0
tech_tf_architecture_yes,0.0
tech_tf_architecture_not_applicable,0.0
project_prf_application_group_mathematically_intensive_application,0.0
tech_tf_development_platform_hand_held,0.0
_case_tool_used_no,0.0
tech_tf_development_platform_mr,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_mathematically_intensive_application_1,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
