feature,mean_importance
project_prf_development_type_new_development,-6.434655644053933e-05
tech_tf_language_type_4GL,-2.1647699599972037e-05
_case_tool_used_no,-9.412117184548485e-06
tech_tf_development_platform_mr,0.0
tech_tf_development_platform_hand_held,0.0
tech_tf_dbms_used_no,0.0
project_prf_application_group_real_time_application,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
project_prf_application_group_business_application,0.0
_case_tool_used_don_t_know,0.0
tech_tf_architecture_don_t_know,0.0
tech_tf_architecture_not_applicable,0.0
tech_tf_language_type_5GL,2.7755575615628915e-18
tech_tf_development_platform_proprietary,2.7755575615628915e-18
tech_tf_architecture_yes,4.326757279238258e-07
project_prf_application_group_mathematically_intensive_application_1,3.301393159516053e-06
tech_tf_language_type_APG,7.474468662246881e-06
external_eef_data_quality_rating_b,1.9645898291811848e-05
project_prf_development_type_re_development,2.888719606754242e-05
tech_tf_development_platform_multi,2.9526097002233186e-05
tech_tf_architecture_no,6.663871748277539e-05
tech_tf_language_type_Missing,8.839228000797062e-05
tech_tf_development_platform_pc,0.0001244547796596024
tech_tf_language_type_3GL,0.000152829475665614
tech_tf_tools_used,0.00023461176157822116
_case_tool_used_yes,0.00024023196364827414
process_pmf_development_methodologies,0.00031839753706438824
tech_tf_dbms_used_yes,0.00032098398051783885
tech_tf_development_platform_mf,0.00042899570470264216
project_prf_team_size_group,0.000528953392687248
tech_tf_primary_programming_language,0.0005412729030356362
project_prf_application_type,0.0005651193851319208
project_prf_year_of_project,0.0006659667998611451
external_eef_industry_sector,0.0011688862030390461
process_pmf_docs,0.0013140985699910013
external_eef_organisation_type,0.0023528522104145967
project_prf_max_team_size,0.013292018219929185
project_prf_functional_size,0.03365283869417376
project_prf_relative_size,0.047357091837847996
project_prf_normalised_work_effort_level_1,1.3676031855400468
