feature,mean_importance
tech_tf_language_type_4GL,-0.00039858368248740507
tech_tf_tools_used,-0.00029165129992437947
tech_tf_development_platform_multi,-8.514903784257178e-05
tech_tf_architecture_don_t_know,-4.289235758254545e-05
project_prf_application_group_infrastructure_software,-2.7473368189556703e-05
project_prf_application_group_real_time_application,-1.0624411193957405e-05
tech_tf_architecture_not_applicable,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_proprietary,0.0
tech_tf_dbms_used_no,0.0
tech_tf_development_platform_hand_held,0.0
project_prf_development_type_re_development,1.6148995952046385e-05
tech_tf_language_type_APG,2.8969791832991754e-05
project_prf_application_group_mathematically_intensive_application_1,0.0001786453594577811
tech_tf_architecture_yes,0.0002239091347979824
project_prf_development_type_new_development,0.00027193181995518735
external_eef_data_quality_rating_b,0.000296110497926963
_case_tool_used_don_t_know,0.0003033958828393135
_case_tool_used_no,0.0004075028527307539
tech_tf_development_platform_mf,0.0004491394362548709
tech_tf_dbms_used_yes,0.0005418580680503395
process_pmf_development_methodologies,0.0006246481663174236
tech_tf_development_platform_mr,0.000707526938811455
tech_tf_architecture_no,0.000727929748508653
tech_tf_language_type_Missing,0.0009178420742083637
project_prf_team_size_group,0.0009226494053971177
tech_tf_language_type_3GL,0.0009657849522883108
project_prf_application_group_business_application,0.0011536228316353606
_case_tool_used_yes,0.0015992228845615117
tech_tf_development_platform_pc,0.0017081797497113498
tech_tf_primary_programming_language,0.0026310379444847306
project_prf_relative_size,0.003742550906130454
process_pmf_docs,0.004864433859295911
external_eef_industry_sector,0.005365790369893046
project_prf_year_of_project,0.005604426491912978
project_prf_application_type,0.005758574084424252
project_prf_max_team_size,0.010671401825071293
external_eef_organisation_type,0.019806087052603616
project_prf_functional_size,0.06806542203803842
project_prf_normalised_work_effort_level_1,1.5370036397052127
