feature,mean_importance
project_prf_functional_size,-0.0006016205803919435
tech_tf_architecture_yes,-0.0005462235734425807
tech_tf_development_platform_mr,-0.00016807257104656318
external_eef_organisation_type,-0.00015286159750167242
tech_tf_architecture_no,-6.613972684363229e-05
project_prf_max_team_size,-3.5678062088393556e-05
tech_tf_development_platform_mf,-3.2654084131318593e-05
project_prf_application_group_business_application,-2.423972060879784e-05
project_prf_year_of_project,-2.292307941776095e-05
tech_tf_language_type_3GL,-1.861310708472508e-05
tech_tf_language_type_Missing,-1.6324761656697634e-05
project_prf_development_type_re_development,-1.2260972483569416e-05
_case_tool_used_yes,-1.0745477158939642e-05
tech_tf_dbms_used_yes,-5.04258201977012e-06
tech_tf_development_platform_proprietary,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
tech_tf_architecture_not_applicable,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_mathematically_intensive_application_1,0.0
project_prf_application_group_real_time_application,0.0
_case_tool_used_no,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_hand_held,0.0
22_LightGBM_prediction,0.0
tech_tf_dbms_used_no,0.0
tech_tf_language_type_4GL,4.1611614053777e-08
tech_tf_development_platform_multi,1.979194748047419e-06
tech_tf_architecture_don_t_know,2.997238107766559e-06
tech_tf_language_type_APG,4.309143326835379e-06
project_prf_application_group_infrastructure_software,1.7221305259951248e-05
tech_tf_development_platform_pc,2.99402226189259e-05
project_prf_application_type,3.2208363981817147e-05
project_prf_team_size_group,3.970241220205006e-05
process_pmf_development_methodologies,4.732948206407558e-05
external_eef_data_quality_rating_b,5.5856064615672495e-05
external_eef_industry_sector,6.602142098803763e-05
project_prf_development_type_new_development,7.381652991443332e-05
_case_tool_used_don_t_know,8.309422744178993e-05
process_pmf_docs,9.586092757856088e-05
tech_tf_tools_used,0.0001094975623215158
tech_tf_primary_programming_language,0.00011821078940956881
project_prf_relative_size,0.00018292425109302652
1_Linear_prediction,0.001620669149039304
2_Default_LightGBM_prediction,0.005050378149617903
21_RandomForest_prediction,0.01128518784526798
3_Xgboost_prediction,0.019492891139140787
project_prf_normalised_work_effort_level_1,0.022806095194035723
Ensemble_prediction,0.17365976909506586
12_LightGBM_prediction,1.1764901691038117
