feature,mean_importance
tech_tf_development_platform_pc,-0.0003444738727424769
_case_tool_used_no,-7.370975503026983e-05
tech_tf_development_platform_multi,-5.25107193344615e-05
project_prf_application_group_infrastructure_software,-8.488880743201532e-07
project_prf_application_group_business_application__infrastructure_software,0.0
tech_tf_architecture_not_applicable,0.0
tech_tf_development_platform_hand_held,0.0
tech_tf_dbms_used_no,0.0
tech_tf_language_type_5GL,0.0
project_prf_application_group_mathematically_intensive_application,5.7871088366551196e-08
tech_tf_language_type_Missing,2.73109177106462e-06
project_prf_application_group_real_time_application,7.699963076525374e-06
tech_tf_language_type_APG,5.837721309342528e-05
tech_tf_architecture_don_t_know,7.173775038717759e-05
tech_tf_architecture_no,0.00014125536895562562
tech_tf_architecture_yes,0.00022883955206693535
project_prf_application_group_mathematically_intensive_application_1,0.0002601532695752119
tech_tf_development_platform_proprietary,0.00027263449124350844
tech_tf_language_type_4GL,0.0002809793341881146
project_prf_development_type_re_development,0.0003029352425344585
project_prf_application_group_business_application,0.0003855222613035461
tech_tf_dbms_used_yes,0.0005561835381637965
external_eef_data_quality_rating_b,0.0005578228883081994
tech_tf_development_platform_mr,0.0008390180165882798
_case_tool_used_don_t_know,0.0010497666656534344
tech_tf_language_type_3GL,0.0012939627000478336
_case_tool_used_yes,0.0013647535505479167
tech_tf_tools_used,0.0013719070895542578
project_prf_team_size_group,0.0013951452637370305
tech_tf_development_platform_mf,0.0015042156780000746
process_pmf_development_methodologies,0.0016338839714118898
tech_tf_primary_programming_language,0.0021065450143409278
project_prf_development_type_new_development,0.0025285238976176317
external_eef_industry_sector,0.003962603989656934
process_pmf_docs,0.004529395790005072
project_prf_application_type,0.004763645548408298
project_prf_year_of_project,0.005981398116588649
external_eef_organisation_type,0.017238916086532618
project_prf_relative_size,0.02609223908319943
project_prf_max_team_size,0.049682634800437865
project_prf_functional_size,0.07751899367838035
project_prf_normalised_work_effort_level_1,1.479839560718251
