feature,mean_importance
tech_tf_primary_programming_language,-0.0006904640288168173
tech_tf_development_platform_mr,-0.0006353715906863781
external_eef_organisation_type,-0.00048684390969350665
external_eef_industry_sector,-0.00044244872535488116
project_prf_team_size_group,-0.0003521309078411007
project_prf_year_of_project,-0.00031856367784364526
project_prf_application_group_mathematically_intensive_application_1,-0.00015918198055617921
_case_tool_used_yes,-0.00013248575705019847
tech_tf_development_platform_pc,-0.00011565715510217512
tech_tf_language_type_3GL,-8.030895810934787e-05
tech_tf_language_type_APG,-7.968254596666738e-05
tech_tf_architecture_yes,-6.633703376089095e-05
tech_tf_development_platform_mf,-5.057809409752117e-05
external_eef_data_quality_rating_b,-2.4607440056551023e-05
process_pmf_development_methodologies,-2.303964291481414e-05
tech_tf_architecture_don_t_know,-1.717530084823782e-05
project_prf_development_type_new_development,-7.266419351510678e-06
project_prf_application_group_real_time_application,-2.140825215775355e-07
tech_tf_architecture_not_applicable,0.0
_case_tool_used_no,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_hand_held,0.0
tech_tf_development_platform_proprietary,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
project_prf_application_group_infrastructure_software,0.0
tech_tf_dbms_used_no,0.0
tech_tf_tools_used,2.326158216378604e-06
project_prf_application_group_business_application,3.7044099815863875e-06
tech_tf_language_type_4GL,1.977589232320179e-05
tech_tf_development_platform_multi,2.191822794845519e-05
tech_tf_dbms_used_yes,2.283197540889348e-05
tech_tf_language_type_Missing,3.731714299760464e-05
tech_tf_architecture_no,4.053692991848948e-05
_case_tool_used_don_t_know,4.716922837216114e-05
project_prf_application_type,6.256657699217696e-05
project_prf_development_type_re_development,0.0003675342218477304
22_LightGBM_prediction,0.0005329520291245761
process_pmf_docs,0.0005965474821418466
project_prf_max_team_size,0.0016793082771424724
project_prf_functional_size,0.0018122376797765592
project_prf_relative_size,0.002013098508889452
1_Linear_prediction,0.0020857806183341445
2_Default_LightGBM_prediction,0.018262033636661214
21_RandomForest_prediction,0.02062892545433192
project_prf_normalised_work_effort_level_1,0.027098901887280664
3_Xgboost_prediction,0.047514368454351925
Ensemble_prediction,0.2484498436210892
12_LightGBM_prediction,0.8342114318126136
