age,income,category,status,score,region_code
62,55188.254,A,active,48.206875,4.0
69,43920.504,A,active,54.311684,4.0
45,42973.227,D,active,44.32075,2.0
65,52012.7,D,pending,63.26173,4.0
69,49526.848,A,pending,53.651917,4.0
61,45256.633,A,active,58.126038,3.0
63,41777.348,A,active,44.635826,2.0
66,55153.1,C,active,66.88195,4.0
41,51744.52,A,pending,58.99176,2.0
62,46089.074,A,active,53.007088,2.0
60,49405.918,A,active,29.858303,4.0
67,49213.33,C,active,59.299046,5.0
61,60547.938,C,pending,58.773735,4.0
56,50512.062,B,active,52.592705,2.0
64,57943.754,D,active,40.358765,4.0
56,42323.406,C,pending,58.325184,4.0
72,46108.5,B,active,39.74908,5.0
68,39896.633,D,pending,58.764305,4.0
61,53068.652,B,active,58.334724,2.0
74,39810.074,D,pending,52.709724,4.0
65,50964.098,D,active,44.320644,5.0
69,42778.754,A,active,63.8264,1.0
72,44917.81,D,active,42.62372,3.0
55,46541.953,D,active,53.592545,4.0
68,42686.793,C,active,65.91695,3.0
66,58240.266,C,pending,52.396107,2.0
67,44192.547,A,active,48.156605,3.0
62,49544.848,A,active,59.389427,5.0
70,58004.434,B,active,58.461143,4.0
61,50613.242,C,pending,60.24813,3.0
56,49525.543,D,active,50.512505,4.0
60,57130.547,A,active,68.12782,3.0
64,46194.684,D,active,57.37411,4.0
45,47202.492,D,pending,51.004997,3.0
67,49323.11,D,pending,49.861515,3.0
64,50898.82,D,active,55.47868,2.0
57,58411.715,B,pending,42.168102,2.0
56,48065.168,D,active,49.589714,2.0
68,58208.145,B,active,47.323627,5.0
67,56926.29,A,active,45.51563,2.0
58,44333.605,C,pending,48.08494,3.0
48,53980.133,D,pending,50.400978,4.0
51,47107.785,B,active,38.043705,4.0
66,48724.703,D,active,54.627243,4.0
63,48303.5,A,pending,48.70375,3.0
59,43288.215,D,pending,50.046715,2.0
71,42919.336,C,active,58.205036,5.0
67,45301.56,C,active,66.6494,4.0
57,46701.977,C,active,64.01806,2.0
57,56469.082,B,active,32.58305,2.0
62,53612.43,D,active,65.69922,3.0
62,57151.074,D,active,49.21219,2.0
