Model,Feature,Importance
government 2_LinearRegression,project_prf_application_type,351113422682889.56
government 2_LinearRegression,tech_tf_primary_programming_language,273097341801378.4
government 2_LinearRegression,tech_tf_tools_used,146687339269075.66
government 2_LinearRegression,project_prf_functional_size,126147426058573.22
government 2_LinearRegression,process_pmf_development_methodologies_agile_development,81953902414228.7
government 2_LinearRegression,project_prf_max_team_size,79165330572517.36
government 2_LinearRegression,process_pmf_docs,73869965336300.69
government 2_LinearRegression,process_pmf_development_methodologies_missing,67482309795116.68
government 2_LinearRegression,process_pmf_development_methodologies_unified_process,66128403090094.305
government 2_LinearRegression,process_pmf_development_methodologies_iterative,61884144596242.66
government 2_LinearRegression,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,56520646053328.01
government 2_LinearRegression,process_pmf_development_methodologies_scrum,54055712360319.68
government 2_LinearRegression,external_eef_industry_sector_government,45857546414944.234
government 2_LinearRegression,external_eef_organisation_type,43824682795388.945
medical 3_LassoLars,external_eef_industry_sector_banking,3144.1481354721996
government 2_LinearRegression,project_prf_application_group_mathematically_intensive_application,3132.039441730827
government 3_Lasso,project_prf_application_group_mathematically_intensive_application,3121.7827577392795
serviceindustry 3_Lasso,project_prf_application_group_missing,3119.295831063737
serviceindustry 2_BayesianRidge,project_prf_application_group_missing,3054.259563334542
insurance 3_LassoLars,project_prf_functional_size,1995.7475067029684
insurance 2_Lasso,project_prf_functional_size,1987.131273347036
government 2_LinearRegression,project_prf_application_group_missing,1887.3313352018595
government 3_Lasso,project_prf_application_group_missing,1880.2736150715784
serviceindustry 3_Lasso,project_prf_application_group_mathematically_intensive_application,1880.153560010858
serviceindustry 2_BayesianRidge,project_prf_application_group_mathematically_intensive_application,1862.9097535961735
medical 3_LassoLars,external_eef_industry_sector_financial,1693.5193601442563
serviceindustry 2_BayesianRidge,project_prf_year_of_project,1473.145747881597
serviceindustry 3_Lasso,project_prf_year_of_project,1462.3742407137524
medical 1_LGBMRegressor,external_eef_industry_sector_financial,1060.0
medical 1_LGBMRegressor,external_eef_industry_sector_banking,1008.0
serviceindustry 2_BayesianRidge,tech_tf_architecture_client_server,895.8848348573249
serviceindustry 3_Lasso,tech_tf_architecture_client_server,893.3734611637152
communication 3_Lasso,project_prf_functional_size,822.8761903953372
communication 2_BayesianRidge,project_prf_functional_size,788.0710613507899
medical 3_LassoLars,project_prf_relative_size_xl,599.4275382012905
serviceindustry 2_BayesianRidge,tech_tf_architecture_stand_alone_1,539.1351106971864
serviceindustry 3_Lasso,tech_tf_architecture_stand_alone_1,535.009094808193
government 2_LinearRegression,project_prf_application_group_real_time_application,528.1254887282848
government 3_Lasso,project_prf_application_group_real_time_application,526.1205952259528
serviceindustry 2_BayesianRidge,tech_tf_client_server_yes,508.20452846057964
serviceindustry 3_Lasso,tech_tf_client_server_yes,493.42403063697316
government 2_LinearRegression,project_prf_relative_size_m1,493.085205078125
serviceindustry 3_Lasso,tech_tf_dbms_used_no,487.13958195627447
government 3_Lasso,project_prf_relative_size_m1,484.2469672266005
serviceindustry 2_BayesianRidge,tech_tf_dbms_used_no,472.17815692846176
serviceindustry 3_Lasso,external_eef_data_quality_rating_c,468.2104200809725
medical 3_LassoLars,project_prf_application_type,467.5770506378279
serviceindustry 3_Lasso,tech_tf_language_type_4gl,466.5961730323724
serviceindustry 2_BayesianRidge,tech_tf_language_type_4gl,465.20811911943116
serviceindustry 2_BayesianRidge,external_eef_data_quality_rating_c,464.1585684910833
serviceindustry 3_Lasso,project_prf_development_type_new_development,402.4755274895109
serviceindustry 2_BayesianRidge,project_prf_development_type_new_development,394.3474243795066
medical 1_LGBMRegressor,external_eef_organisation_type_wholesale_and_retail_trade,377.0
medical 3_LassoLars,project_prf_team_size_group_9_14,376.8533501787143
serviceindustry 2_BayesianRidge,project_prf_team_size_group_31_40,370.75574942939954
serviceindustry 3_Lasso,project_prf_team_size_group_31_40,360.35056599468317
