,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
gbr,Gradient Boosting Regressor,1428.7353,11882493.6719,2921.9439,0.3369,0.7394,1.0419,0.101
rf,Random Forest Regressor,1466.1338,11497190.2148,2903.4074,0.2914,0.7486,1.0918,0.195
par,Passive Aggressive Regressor,1478.1008,12513469.8409,3173.2205,0.168,0.8086,1.1508,0.036
en,Elastic Net,1608.878,12952708.0408,3176.4346,0.1544,0.8519,1.4528,0.034
knn,K Neighbors Regressor,1519.8345,14252043.6177,3231.9373,0.1395,0.7742,1.1164,0.039
lightgbm,Light Gradient Boosting Machine,1603.2994,13870033.7226,3258.3847,0.0728,0.829,1.1048,0.143
et,Extra Trees Regressor,1587.4584,12973989.0084,3244.6052,-0.0031,0.8003,1.2328,0.179
br,Bayesian Ridge,1704.3213,13886134.0411,3320.5962,-0.0366,0.8732,1.2406,0.037
omp,Orthogonal Matching Pursuit,1752.2375,16347250.3591,3523.6509,-0.0868,0.8997,1.3304,0.038
dummy,Dummy Regressor,2052.7123,18058988.8353,3724.9369,-0.0926,1.102,2.938,0.036
huber,Huber Regressor,1563.5831,13141594.3698,3325.4986,-0.1497,0.8045,1.218,0.049
llar,Lasso Least Angle Regression,1777.2233,19174996.1081,3815.8869,-0.2961,0.8906,1.5194,0.035
ridge,Ridge Regression,1822.5177,17379185.09,3691.6029,-0.4417,0.8986,1.2647,0.032
lasso,Lasso Regression,1836.258,17726833.6614,3760.4749,-0.5097,0.9014,1.3023,0.046
dt,Decision Tree Regressor,1815.8311,14975248.544,3541.9708,-0.5343,0.9376,1.3781,0.047
ada,AdaBoost Regressor,1818.546,14399187.547,3438.86,-0.9882,0.9849,2.3663,0.054
lr,Linear Regression,9721102636072750.0,3.98634312169568e+33,5.903638453850654e+16,-7.08360553216633e+26,5.8659,7655687662314.531,1.795
lar,Least Angle Regression,1.0192536983784973e+33,6.025492684318233e+68,7.762404869484342e+33,-8.049565553380061e+61,22.9752,2.549409115844809e+29,0.036
