Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1490.88,5167859.5332,2273.2927,0.3056,0.9155,1.424
1,1788.0945,10942129.1104,3307.8889,0.3946,1.1447,7.9662
2,1355.505,3732142.8173,1931.8755,0.0238,0.8875,1.35
3,2796.0739,62987707.7498,7936.4796,0.1042,0.7962,0.7726
4,1395.118,5926464.4838,2434.4331,0.2083,0.8129,1.1193
5,1212.5376,2574158.9801,1604.4186,-0.4762,0.8562,1.3002
6,1610.7273,8466289.5158,2909.6889,0.3616,0.9915,1.6176
7,2016.26,28964262.6645,5381.8457,0.2273,0.9074,1.3469
8,1188.6437,2602091.1687,1613.0999,0.3658,0.8052,1.199
9,1334.8387,6871706.6397,2621.394,0.3391,0.7771,0.9918
Mean,1618.8679,13823481.2663,3201.4417,0.1854,0.8894,1.9088
Std,462.5055,17953489.6669,1890.5694,0.2486,0.1058,2.0315
