Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1278.9328,5073329.3819,2252.4052,0.3183,0.7564,0.9095
1,1545.9124,14590908.6644,3819.8048,0.1927,1.0006,4.8408
2,1070.7676,3060728.178,1749.4937,0.1994,0.7122,0.7899
3,3054.0896,70585568.669,8401.5218,-0.0039,0.8769,0.6038
4,1109.3149,5566046.7149,2359.2471,0.2564,0.6528,0.6841
5,809.2605,1248025.7298,1117.1507,0.2843,0.6393,0.7495
6,1594.8079,10992673.2669,3315.5201,0.1712,0.9067,1.098
7,2023.1439,36151418.3279,6012.605,0.0355,0.8678,0.9019
8,1106.1062,2808521.6782,1675.8645,0.3155,0.7337,0.8502
9,1350.3667,8052327.8322,2837.6624,0.2256,0.7083,0.7282
Mean,1494.2703,15812954.8443,3354.1275,0.1995,0.7855,1.2156
Std,611.5596,20646691.1958,2136.0673,0.1038,0.114,1.2155
