Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1426.2547,5884156.6514,2425.7281,0.2094,0.838,1.3363
1,1520.0055,13077699.6496,3616.3102,0.2764,0.9914,4.5885
2,983.923,2045161.0389,1430.0913,0.4651,0.8361,0.8092
3,2355.1059,21338162.9108,4619.3249,0.6965,0.8527,0.5956
4,1440.2064,8121977.0071,2849.9082,-0.085,0.7742,0.8615
5,1406.293,6656138.7399,2579.9494,-2.817,0.7386,1.0467
6,1350.9118,8734546.1022,2955.4266,0.3414,0.8694,0.9974
7,2497.674,39729624.6363,6303.144,-0.0599,0.9901,1.2579
8,1032.1321,2545582.4612,1595.4882,0.3796,0.6454,0.6594
9,1715.7346,19625294.2741,4430.0445,-0.8874,0.7411,0.7441
Mean,1572.8241,12775834.3472,3280.5415,-0.1481,0.8277,1.2897
Std,473.8909,10906732.7979,1419.113,0.9796,0.1035,1.1234
