,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
knn,K Neighbors Regressor,3612.7852,106788153.7104,8650.2618,0.4288,0.8835,1.277,0.041
en,Elastic Net,3921.0837,110276151.3356,8840.3224,0.3615,1.0468,1.7001,0.043
rf,Random Forest Regressor,3579.6528,115856391.968,9214.9896,0.302,0.7676,0.9944,0.163
par,Passive Aggressive Regressor,3527.5824,128911533.1616,9296.4974,0.2618,0.883,0.9879,0.044
huber,Huber Regressor,3782.6983,128489748.4204,9348.2557,0.2414,0.9833,1.5066,0.05
br,Bayesian Ridge,4269.8127,122861869.1657,9334.442,0.2352,1.1659,1.7398,0.04
omp,Orthogonal Matching Pursuit,4613.591,125257272.4815,9660.0545,0.1407,1.1242,1.7181,0.046
lightgbm,Light Gradient Boosting Machine,4326.45,122198265.3518,9695.6872,0.1133,1.0232,1.3253,0.126
llar,Lasso Least Angle Regression,4857.3985,138891327.0532,10101.5022,0.0143,1.1992,1.7597,0.045
ada,AdaBoost Regressor,5478.2793,143797302.5105,10341.9802,-0.0043,1.5399,4.3428,0.086
dummy,Dummy Regressor,6300.7699,161109438.7034,11324.9929,-0.0414,1.6832,5.1117,0.052
gbr,Gradient Boosting Regressor,4062.0039,149589987.8984,10601.0412,-0.0747,0.8271,1.0293,0.098
ridge,Ridge Regression,5639.7236,145752464.2235,10773.0384,-0.2028,1.3512,3.163,0.043
lasso,Lasso Regression,6073.1794,153447604.7065,11331.393,-0.3735,1.3511,3.4732,0.043
et,Extra Trees Regressor,3919.905,155171287.4114,10528.8946,-0.3864,0.7805,0.9739,0.15
dt,Decision Tree Regressor,5217.1058,263141174.5377,13663.5685,-3.3602,0.9434,1.4255,0.043
lr,Linear Regression,5.675170753492368e+16,3.659647019072473e+35,2.142005220371476e+17,-4.2558787950144804e+27,7.3518,17597686133070.43,0.041
lar,Least Angle Regression,1.214805292907523e+84,4.427255699023207e+170,6.653762619017309e+84,-5.145947170528503e+162,37.497,8.932391859635675e+79,0.058
