Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,5690.6254,471692172.3635,21718.4754,0.0918,0.7012,0.5249
1,4879.3264,366318492.2056,19139.4486,0.048,0.7653,0.6316
2,2201.9553,13243645.3496,3639.182,0.7959,0.7254,0.8019
3,1922.4828,9906263.4271,3147.4217,0.5731,0.9195,1.3555
4,1832.2229,7792116.0861,2791.4362,0.7436,0.8873,1.3588
5,2944.1235,39390837.1765,6276.212,0.5421,0.6124,0.6061
6,3183.415,89495526.7015,9460.2075,0.5187,0.9861,2.1832
7,3472.9824,77832620.1982,8822.2798,0.4028,1.0175,1.5878
8,3753.3969,48614375.2483,6972.401,0.6332,1.0457,1.5576
9,3383.6173,22828709.943,4777.9399,0.1736,0.8788,1.0282
Mean,3326.4148,114711475.8699,8674.5004,0.4523,0.8539,1.1636
Std,1176.5514,156183633.2997,6282.0792,0.2522,0.1389,0.51
