Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,6624.4766,397459440.3668,19936.3848,0.2347,0.9593,1.3584
1,5799.0331,323780405.3095,17993.8991,0.1586,1.1505,1.9751
2,3274.389,21638366.1659,4651.7057,0.6665,1.0891,1.9599
3,2724.1662,11330446.3742,3366.0728,0.5117,1.3056,3.0642
4,2312.5193,10572818.6773,3251.5871,0.6521,1.1576,2.3374
5,3814.6148,48294544.22,6949.4276,0.4387,1.1535,1.7738
6,4649.0866,104015716.6013,10198.8096,0.4406,1.2763,3.4125
7,4937.3884,103239041.334,10160.6615,0.2079,1.3519,2.9853
8,4531.3708,58240520.8829,7631.5477,0.5605,1.2017,2.3765
9,3422.1603,18948092.1199,4352.9406,0.314,1.1319,1.8065
Mean,4208.9205,109751939.2052,8849.3037,0.4185,1.1777,2.3049
Std,1289.977,130622424.886,5607.2956,0.1739,0.1079,0.6266
