Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,6496.6946,410154266.7197,20252.2657,0.2103,0.91,1.2509
1,4991.8624,346831748.217,18623.4193,0.0987,0.8928,1.076
2,3059.325,24060727.7968,4905.1736,0.6292,0.9957,1.7528
3,2143.8531,9239485.4152,3039.6522,0.6018,0.9498,1.5379
4,1695.2674,6977098.039,2641.4197,0.7704,0.9573,1.5777
5,2650.1906,20898264.7199,4571.462,0.7571,0.6718,0.8198
6,3724.0917,98356665.5225,9917.4929,0.4711,1.0903,2.6341
7,4144.7602,80907968.693,8994.8857,0.3792,1.1527,2.1551
8,3281.0564,35866513.0172,5988.8658,0.7294,1.0353,1.6934
9,3399.7869,26608644.1855,5158.3567,0.0367,0.8803,1.2418
Mean,3558.6888,105990138.2326,8409.2994,0.4684,0.9536,1.574
Std,1330.709,139837031.5347,5939.1769,0.2615,0.1254,0.504
