isbsg_project_id,project_prf_year_of_project,project_prf_application_type,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,project_prf_total_project_cost,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_multifunctional_teams,external_eef_industry_sector_medical_and_health_care,external_eef_organisation_type_biotech,external_eef_organisation_type_medical_and_health_care,external_eef_organisation_type_occupational_health_and_safety,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_united_states_dollar,project_prf_currency_multiple_missing,project_prf_currency_multiple_no
10033,2012,not recorded,162,92380,92380,570.2,570.2,8.1,0.0,20.0,101+,253,2,0,4071933,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
10065,2013,not recorded,34,3444,3444,101.3,101.3,2.8,0.0,12.0,81-90,90,2,0,178444,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
10178,2005,catalogue/register of things or events; complex process control; document management; online analysis and reporting; workflow support & management,826,2503,2503,3.0,3.0,18.8,4.7,44.0,03-Apr,4,14,1,119674,1,0,0,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
10184,2012,not recorded,13,2565,2565,197.3,197.3,0.9,0.0,15.0,21-30,28,2,0,91004,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10359,2012,not recorded,19,4061,4061,213.7,213.7,1.3,0.0,15.0,51-60,58,2,0,207539,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10361,2012,not recorded,21,813,813,38.7,38.7,3.5,0.2,6.0,15-20,20,2,0,40236,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10449,2012,not recorded,18,2651,2651,147.3,147.3,3.0,0.1,6.0,31-40,33,2,0,123081,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10465,2011,not recorded,12,2920,2920,243.3,243.3,1.2,0.0,10.0,41-50,47,2,0,160179,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10470,2012,not recorded,116,13316,13316,114.8,114.8,10.5,0.2,11.0,61-70,69,2,0,569861,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
10494,2013,not recorded,42,5305,5305,126.3,126.3,2.6,0.1,16.0,31-40,33,2,0,248917,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
10496,2012,not recorded,47,2450,2450,52.1,52.1,2.0,0.1,24.0,31-40,36,2,0,104783,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
10527,2012,not recorded,6,538,538,89.7,89.7,1.0,0.1,6.0,Sep-14,12,2,0,30456,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
10531,2013,not recorded,24,170,170,7.1,7.1,3.0,0.4,8.0,05-Aug,8,2,0,5380,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10712,2013,not recorded,9,1871,1871,207.9,207.9,1.0,0.0,9.0,21-30,30,2,0,63529,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
10750,2011,not recorded,16,812,812,50.8,50.8,1.5,0.1,11.0,15-20,20,2,0,37344,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10792,2012,not recorded,26,5230,5230,201.2,201.2,3.3,0.1,8.0,51-60,52,2,0,326997,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10837,2011,not recorded,125,16747,16747,134.0,134.0,8.3,0.1,15.0,101+,163,2,0,843607,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
10853,2012,not recorded,27,4380,4380,162.2,162.2,1.8,0.0,15.0,71-80,71,2,0,135668,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
