,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
par,Passive Aggressive Regressor,2612.255,36249248.4681,5252.4949,0.5903,0.712,0.8075,0.028
en,Elastic Net,2793.8679,35416226.2546,5239.7858,0.589,0.7801,1.0868,0.025
knn,K Neighbors Regressor,2780.7193,37220064.1753,5365.2843,0.547,0.7494,1.0454,0.03
huber,Huber Regressor,2715.056,34134386.1234,5338.2369,0.5431,0.8473,0.8442,0.035
omp,Orthogonal Matching Pursuit,3217.8156,36609525.3908,5475.4128,0.5095,0.9739,1.2702,0.025
rf,Random Forest Regressor,2942.1405,40976978.9957,5786.5627,0.4449,0.7586,0.9735,0.13
lightgbm,Light Gradient Boosting Machine,3060.1842,43376269.561,5928.3908,0.4423,0.818,0.9803,0.118
br,Bayesian Ridge,3134.8054,40201940.7375,5739.8583,0.4331,0.8774,1.2339,0.027
ridge,Ridge Regression,3213.6431,40658266.5069,5796.1443,0.374,0.9081,1.515,0.025
et,Extra Trees Regressor,3234.9634,50820221.4851,6470.3468,0.2687,0.7752,0.946,0.113
lasso,Lasso Regression,3328.7295,44672024.7701,6126.8876,0.2327,0.9257,1.8147,0.039
ada,AdaBoost Regressor,4213.1227,49210173.1933,6576.1132,0.2303,1.2528,2.98,0.059
gbr,Gradient Boosting Regressor,3108.724,50059197.6451,6333.1975,0.2228,0.7376,0.9366,0.063
dummy,Dummy Regressor,5087.9633,77085073.2904,8097.8586,-0.0514,1.4908,4.1277,0.032
dt,Decision Tree Regressor,3795.4181,73349386.4938,7804.2956,-0.5597,0.8912,1.0456,0.029
llar,Lasso Least Angle Regression,5037954245056674.0,8.629534211586395e+33,2.937606885134452e+16,-5.343401679217139e+26,1.4521,3748477860904.224,0.026
lr,Linear Regression,3.171810904131502e+16,6.30277528450254e+34,1.5817980609910326e+17,-1.6898315858965721e+27,4.7979,67030379098923.266,0.027
lar,Least Angle Regression,6.322819822837738e+25,7.064847207801949e+53,2.6698362172191614e+26,-1.0778265455736838e+46,11.2657,3.500546858287239e+23,0.028
