project_prf_year_of_project,project_prf_application_type,project_prf_functional_size,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_multifunctional_teams,external_eef_industry_sector_medical_and_health_care,external_eef_organisation_type_biotech,external_eef_organisation_type_medical_and_health_care,external_eef_organisation_type_occupational_health_and_safety,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_united_states_dollar,project_prf_currency_multiple_missing,project_prf_currency_multiple_no
2011,not recorded,14,41-50,44,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,25,71-80,71,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,4,05-Aug,7,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,160,91-100,96,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,5,Sep-14,10,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,23,41-50,49,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,130,51-60,55,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,12,41-50,46,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,136,101+,126,2,0,1,0,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
2012,not recorded,7,21-30,25,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,92,41-50,41,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,18,31-40,33,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,73,61-70,67,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,4,41-50,48,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,12,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,80,31-40,39,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,4,21-30,23,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2012,not recorded,21,15-20,17,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,30,41-50,41,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2012,not recorded,12,51-60,52,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,21,21-30,22,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2011,not recorded,7,21-30,29,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,7,51-60,58,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,53,81-90,84,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,7,15-20,16,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2013,not recorded,12,Sep-14,14,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,3,15-20,19,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
2011,not recorded,22,21-30,27,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2010,not recorded,23,61-70,63,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,22,21-30,26,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,46,71-80,76,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2011,not recorded,25,15-20,15,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2013,not recorded,36,81-90,87,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
2013,not recorded,24,05-Aug,8,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
2012,not recorded,49,21-30,21,2,0,1,0,0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
