Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1503.1854,7141190.4076,2672.3006,0.715,0.7043,0.7552
1,3906.7299,65777255.4175,8110.3178,0.6282,0.775,0.7663
2,2617.1393,35258995.2118,5937.9285,0.4621,0.6206,0.6504
3,2582.4246,33076736.3808,5751.2378,0.596,0.801,1.1986
4,4635.2917,136030477.2429,11663.2104,0.3694,0.8598,1.306
5,1933.4537,5852174.817,2419.1269,0.6376,0.6371,0.6743
6,2094.5803,9628450.5364,3102.9745,0.6865,0.7233,0.8808
7,2482.9272,25329365.8639,5032.8288,0.5876,0.6733,0.6019
8,2299.8698,15737634.8959,3967.0688,0.5846,0.8282,0.8919
9,2405.9036,11525595.5877,3394.9368,0.6422,0.7219,0.6631
Mean,2646.1505,34535787.6361,5205.1931,0.5909,0.7344,0.8388
Std,887.3248,38001368.2869,2727.9576,0.0982,0.0761,0.2267
