Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1830.9297,7162605.9412,2676.3045,0.7141,0.7389,1.0197
1,4083.6901,78748593.3841,8874.0404,0.5549,0.8705,1.289
2,3057.0724,35369874.8499,5947.2578,0.4604,0.9206,1.6135
3,3237.8684,42011013.8619,6481.5904,0.4869,1.0107,1.8963
4,4766.2911,139871377.2054,11826.723,0.3516,0.9235,1.5735
5,1860.6913,5968835.7191,2443.1201,0.6304,0.7479,0.98
6,2168.127,7249990.6569,2692.5807,0.764,0.889,1.3966
7,2619.6347,23458900.155,4843.4389,0.6181,0.6915,0.8126
8,2297.3314,11580707.2173,3403.0438,0.6943,0.9162,1.4145
9,2496.6651,12612721.7075,3551.4394,0.6085,0.7296,0.9077
Mean,2841.8301,36403462.0698,5273.9539,0.5883,0.8438,1.2903
Std,913.9124,40635183.9672,2930.6778,0.1203,0.1022,0.3351
