Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1295.8122,4305802.14,2075.0427,0.8281,0.6201,0.6663
1,4244.5026,98251349.0237,9912.1818,0.4447,0.7884,0.9345
2,3026.4926,36527613.834,6043.8079,0.4427,0.9916,2.7543
3,3120.6332,53654667.134,7324.9346,0.3447,0.9868,1.7853
4,4599.0991,153993619.6864,12409.4166,0.2861,0.9438,2.2539
5,1872.4733,6400456.3028,2529.9123,0.6037,0.6523,0.6711
6,2235.5839,10994785.6977,3315.8386,0.6421,0.7684,1.0017
7,2608.1078,27776989.605,5270.388,0.5478,0.6023,0.5075
8,1934.1646,10811256.2574,3288.0475,0.7147,0.7476,0.8687
9,2419.1139,11884524.7705,3447.3939,0.6311,0.7405,0.7318
Mean,2735.5983,41460106.4451,5561.6964,0.5486,0.7842,1.2175
Std,990.4037,46477011.0164,3244.6324,0.1602,0.138,0.7314
