isbsg_project_id,project_prf_year_of_project,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,process_pmf_docs,tech_tf_tools_used,project_prf_max_team_size,external_eef_organisation_type_electricity_gas_water,external_eef_organisation_type_energy,external_eef_organisation_type_government,external_eef_organisation_type_insurance,external_eef_organisation_type_utilities,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_missing,project_prf_application_group_real_time_application,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_joint_application_development_jad,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_personal_software_process_psp,process_pmf_development_methodologies_spiral,process_pmf_development_methodologies_unified_process,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,external_eef_industry_sector_Insurance,external_eef_industry_sector_Utilities,project_prf_development_type_Enhancement,project_prf_development_type_New_Development,project_prf_development_type_Re_development,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_development_platform_Proprietary,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_ApG,tech_tf_language_type_Missing,functional_size_group_L_1000_2999,functional_size_group_M_100_999,functional_size_group_S_100,project_prf_relative_size_L,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XL,project_prf_relative_size_XS,project_prf_relative_size_XXS,project_prf_relative_size_XXXL,process_pmf_prototyping_used_Missing,process_pmf_prototyping_used_Yes,tech_tf_architecture_Client_server,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_Client_server,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_architecture_Stand_alone_1,external_eef_data_quality_rating_A,external_eef_data_quality_rating_B,external_eef_data_quality_rating_D,project_prf_team_size_group_3_4,project_prf_team_size_group_5_8,project_prf_team_size_group_61_70,project_prf_team_size_group_Missing,project_prf_case_tool_used_Don_t_Know,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_client_server_Don_t_Know,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Yes,tech_tf_dbms_used_Missing,tech_tf_dbms_used_Yes
10062,2007,missing,PL/I,401.0,4321.0,4321.0,10.8,10.8,26.4,15.2,3,1,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10109,2015,workflow support & management,.Net,317.0,3735.0,3735.0,11.8,11.8,47.3,6.7,2,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10169,2015,workflow support & management,Oracle,168.0,137.0,137.0,0.8,0.8,93.3,1.8,2,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10226,2011,unknown,Missing,206.0,2020.0,2020.0,9.8,9.8,206.0,1.0,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10281,2013,unknown,Missing,60.0,323.0,323.0,5.4,5.4,40.0,1.5,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10313,2015,workflow support & management,COBOL,402.0,1073.0,1073.0,2.7,2.7,62.8,6.4,2,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10343,2013,unknown,Missing,343.0,1550.0,1550.0,4.5,4.5,32.7,10.5,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10351,2006,missing,PL/I,270.0,4484.0,4484.0,16.6,16.6,16.9,16.0,4,3,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10412,2013,unknown,PL/SQL,53.0,329.0,329.0,6.2,6.2,7.9,6.7,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10438,2006,trading,C#,109.5,12269.0,12269.0,7.1,7.3,32.3,11.6,2,0,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10473,2015,workflow support & management,COBOL,56.0,295.0,295.0,5.3,5.3,6.8,8.2,2,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10568,2013,unknown,COBOL,51.0,259.0,259.0,5.1,5.1,17.0,3.0,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10629,2008,missing,Missing,133.0,1103.0,1103.0,8.3,8.3,18.2,7.3,3,0,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10658,2014,unknown,PL/SQL,71.0,117.0,117.0,1.6,1.6,64.5,1.1,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10684,2013,unknown,PL/SQL,102.0,1233.0,1233.0,12.1,12.1,34.0,3.0,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10736,2008,online analysis and reporting,COBOL,11.0,40.0,40.0,3.6,3.6,22.0,0.5,2,2,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10801,2012,business application,Oracle,180.0,2011.0,2011.0,11.2,11.2,19.6,9.2,2,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10875,2014,unknown,Missing,135.0,666.0,666.0,4.9,4.9,33.8,4.0,3,0,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
