,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
gbr,Gradient Boosting Regressor,1267.3768,7622260.3356,2587.3709,0.5361,0.9214,1.3623,0.09
en,Elastic Net,1443.6693,10734344.5315,2992.5215,0.4884,1.0712,2.0431,0.04
rf,Random Forest Regressor,1327.0574,8648386.418,2700.043,0.4694,0.9075,1.1966,0.157
par,Passive Aggressive Regressor,1376.183,11022270.6559,3036.5866,0.4685,0.9759,1.3286,0.036
huber,Huber Regressor,1380.8493,10685328.8858,2987.3654,0.4506,0.98,1.4831,0.046
omp,Orthogonal Matching Pursuit,1498.7383,9646509.451,2915.0778,0.428,1.1039,1.6949,0.035
knn,K Neighbors Regressor,1461.9955,12380545.775,3228.1682,0.424,1.0076,1.3951,0.035
ada,AdaBoost Regressor,1701.6663,8562312.9073,2739.0251,0.4049,1.3988,4.0145,0.058
et,Extra Trees Regressor,1473.5769,9627016.2514,2922.9464,0.3443,0.9881,1.2231,0.16
lasso,Lasso Regression,1616.6798,10654402.5323,3097.6976,0.3421,1.1657,2.1485,0.045
br,Bayesian Ridge,1520.5214,11018988.8768,3104.39,0.3399,1.0879,1.996,0.033
dt,Decision Tree Regressor,1806.6339,14948195.4177,3696.6629,0.1267,1.0917,1.2832,0.038
ridge,Ridge Regression,1679.9511,13010571.3945,3361.2535,0.1242,1.1798,2.2591,0.041
dummy,Dummy Regressor,2440.4776,22284109.825,4372.2784,-0.0539,1.7445,6.1622,0.042
llar,Lasso Least Angle Regression,2462111778777890.5,2.3035578762520746e+33,1.5177476325967116e+16,-2.1008551190849325e+26,1.5143,14743184304052.201,0.035
lr,Linear Regression,2.4073614738740252e+16,2.44328661710793e+34,1.0526878625238501e+17,-2.521505596477032e+27,8.1948,72229173495097.66,0.035
lar,Least Angle Regression,3.8364108226934237e+31,5.739802320931822e+65,2.3958169693407307e+32,-5.59660887875238e+58,23.2442,1.1341762501699714e+28,0.043
