Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1822.4926,8350145.6206,2889.6619,0.5777,1.1016,1.9763
1,1215.6376,4480872.1646,2116.8071,0.5631,1.23,2.7996
2,2143.6597,38358320.669,6193.4095,0.3934,1.2434,2.422
3,1933.1806,23184670.3788,4815.0462,0.13,1.4194,3.7512
4,1797.7583,9939853.8608,3152.7534,0.4873,1.127,2.2679
5,1547.5711,5924878.3753,2434.1073,0.5636,1.4082,4.089
6,1917.0647,27843319.4753,5276.6769,0.398,1.0182,1.7326
7,1038.9529,1651821.2032,1285.232,0.4582,1.31,2.9358
8,1324.0358,3679599.4988,1918.2282,0.3493,1.7275,7.6442
9,1169.3706,3466825.1176,1861.9412,0.6838,1.3306,3.4133
Mean,1590.9724,12688030.6364,3194.3864,0.4604,1.2916,3.3032
Std,363.5597,11942670.5479,1576.0477,0.1468,0.1913,1.6167
