Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1569.5112,6232966.3619,2496.5909,0.6848,1.2059,1.367
1,1397.2371,8490614.7751,2913.866,0.1721,1.0432,2.0212
2,1899.1723,33127069.2246,5755.612,0.4761,1.0193,1.4479
3,1768.0307,21291637.5236,4614.2862,0.2011,1.3214,2.5579
4,1666.827,9077958.4054,3012.9651,0.5318,1.0546,1.9457
5,1455.6074,4420191.1866,2102.4251,0.6744,1.1362,2.4833
6,1725.3649,21139181.8271,4597.7366,0.5429,0.8126,1.1291
7,926.1799,1583276.8961,1258.2833,0.4807,1.0816,1.9244
8,1068.5569,3044531.5079,1744.8586,0.4616,1.4231,4.4689
9,1180.2691,2929195.2505,1711.4892,0.7329,1.1783,2.6394
Mean,1465.6756,11133662.2959,3020.8113,0.4958,1.1276,2.1985
Std,305.454,9956209.8285,1417.1667,0.1791,0.161,0.9016
