Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1691.2462,7274990.6738,2697.2191,0.6321,0.9462,1.3832
1,1114.474,5200166.9321,2280.3875,0.493,1.0496,2.1182
2,1848.2876,29229386.1096,5406.4208,0.5377,0.9875,1.5204
3,1929.3003,23272165.3451,4824.1233,0.1267,1.3732,3.4535
4,1595.4801,8869905.3824,2978.2386,0.5425,0.9846,1.7107
5,1497.1263,6001454.7244,2449.7867,0.5579,1.3075,3.5517
6,1951.5385,24221775.3928,4921.5623,0.4763,0.8956,1.3747
7,857.4958,1450687.8098,1204.445,0.5242,1.1088,1.9751
8,1245.9547,3882884.8428,1970.5037,0.3134,1.5465,5.9511
9,1103.1088,2371334.0613,1539.9137,0.7837,1.1466,2.3038
Mean,1483.4012,11177475.1274,3027.2601,0.4988,1.1346,2.5342
Std,365.5049,9750641.0759,1418.8628,0.1673,0.2003,1.359
