,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
gbr,Gradient Boosting Regressor,1488.1611,4148867.7408,2035.0858,0.1821,0.9138,1.3087,0.487
br,Bayesian Ridge,1490.9266,4151735.8109,2035.8311,0.1816,0.9202,1.3233,0.086
lasso,Lasso Regression,1490.1773,4154049.656,2036.4084,0.1811,0.9175,1.3105,0.049
llar,Lasso Least Angle Regression,1490.1768,4154050.7497,2036.4087,0.1811,0.9175,1.3105,0.064
lr,Linear Regression,1490.5075,4155836.8856,2036.8468,0.1808,0.9177,1.3097,1.191
ridge,Ridge Regression,1490.5893,4156668.3371,2037.0447,0.1806,0.9177,1.3098,0.047
lar,Least Angle Regression,1490.5904,4156694.3439,2037.0511,0.1806,0.9177,1.3097,0.061
omp,Orthogonal Matching Pursuit,1495.6802,4176989.3783,2042.2881,0.1761,0.9252,1.3425,0.058
en,Elastic Net,1506.4227,4211449.7082,2050.4618,0.1699,0.9417,1.4024,0.054
huber,Huber Regressor,1428.0486,4283975.7394,2067.99,0.1556,0.8689,1.0755,0.09
lightgbm,Light Gradient Boosting Machine,1503.8403,4290207.7918,2069.3297,0.1545,0.914,1.2923,0.215
rf,Random Forest Regressor,1527.7503,4338953.997,2081.2268,0.1446,0.9284,1.3442,1.874
par,Passive Aggressive Regressor,1430.4741,4449094.0314,2107.5576,0.1229,0.8713,0.9907,0.071
et,Extra Trees Regressor,1557.0017,4530720.3223,2127.0072,0.1063,0.9382,1.3578,2.144
dummy,Dummy Regressor,1680.8244,5075019.15,2251.2353,-0.0006,1.0418,1.7102,0.047
knn,K Neighbors Regressor,1659.7203,5406149.95,2324.487,-0.0686,1.0013,1.386,0.061
ada,AdaBoost Regressor,2007.712,5847656.2265,2411.5241,-0.1531,1.1458,2.2546,0.226
dt,Decision Tree Regressor,2106.7098,8832843.081,2969.8151,-0.7467,1.2167,1.6222,0.076
