Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1564.5574,4625196.4799,2150.627,0.1338,0.9471,1.4067
1,1545.1328,4265441.5706,2065.2945,0.1501,0.9758,1.5173
2,1519.7475,4063332.6999,2015.771,0.1614,0.9697,1.5206
3,1496.4037,4211373.1756,2052.163,0.1808,0.9429,1.4154
4,1616.8236,5081449.5604,2254.2071,0.1283,0.949,1.4038
5,1543.8347,4633950.9945,2152.6614,0.1469,0.9751,1.4969
6,1503.038,4052005.6199,2012.9594,0.1236,0.9729,1.5102
7,1538.1932,4106207.3021,2026.3779,0.1574,0.9675,1.4935
8,1568.6267,4464097.621,2112.8411,0.1282,0.9856,1.5443
9,1458.5699,3853629.3507,1963.0663,0.1426,0.9598,1.4728
Mean,1535.4927,4335668.4374,2080.5969,0.1453,0.9645,1.4781
Std,41.8012,347204.4177,82.3715,0.017,0.0135,0.0489
