Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1502.3746,4417833.6642,2101.8643,0.1726,0.901,1.2468
1,1511.2877,4090748.1567,2022.5598,0.1849,0.9287,1.3477
2,1469.5905,3811475.6916,1952.3001,0.2133,0.9287,1.3958
3,1447.6025,3980583.2749,1995.1399,0.2257,0.8868,1.2269
4,1570.1483,4918881.5526,2217.8552,0.1561,0.9073,1.2671
5,1500.2007,4371345.2639,2090.7762,0.1952,0.9207,1.3124
6,1463.7984,3875477.6402,1968.6233,0.1618,0.9301,1.3626
7,1503.0845,3984838.4438,1996.206,0.1823,0.9401,1.3568
8,1517.4024,4370492.7221,2090.5723,0.1465,0.9408,1.3809
9,1423.848,3695519.5584,1922.3734,0.1778,0.9183,1.3368
Mean,1490.9338,4151719.5968,2035.8271,0.1816,0.9202,1.3234
Std,39.1461,348783.5665,84.4261,0.0235,0.0165,0.0552
