Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1500.0854,4406290.8815,2099.1167,0.1748,0.8993,1.2415
1,1509.5784,4086085.6758,2021.4069,0.1858,0.9257,1.3378
2,1463.1519,3800745.7591,1949.5501,0.2156,0.925,1.3843
3,1443.1165,3971700.9155,1992.9127,0.2274,0.8844,1.2228
4,1564.0961,4878528.732,2208.7392,0.1631,0.9048,1.2641
5,1493.4311,4342239.8899,2083.8042,0.2006,0.9171,1.3021
6,1464.085,3882412.1032,1970.3837,0.1603,0.9282,1.3565
7,1499.0001,3953670.6518,1988.3839,0.1887,0.9358,1.3522
8,1518.7846,4379717.5103,2092.7775,0.1447,0.939,1.3768
9,1419.8761,3680123.2713,1918.3647,0.1812,0.9151,1.3295
Mean,1487.5205,4138151.5391,2032.544,0.1842,0.9174,1.3168
Std,39.1701,342570.9187,83.166,0.0241,0.0162,0.0539
