,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
gbr,Gradient Boosting Regressor,2424.5502,14362785.3502,3780.4608,0.5948,1.1386,2.2609,0.688
lr,Linear Regression,2572.4658,14574456.7891,3806.7198,0.5894,1.3164,3.7148,0.083
lasso,Lasso Regression,2571.9859,14574094.9346,3806.7527,0.5894,1.3191,3.7089,0.079
llar,Lasso Least Angle Regression,2571.9861,14574092.2724,3806.7523,0.5894,1.319,3.7089,0.076
br,Bayesian Ridge,2568.5685,14576474.3135,3806.9507,0.5894,1.3151,3.6887,0.12
ridge,Ridge Regression,2573.078,14577033.3717,3807.1484,0.5893,1.3184,3.719,0.062
lar,Least Angle Regression,2573.1343,14577081.4255,3807.1561,0.5893,1.3181,3.7193,0.07
omp,Orthogonal Matching Pursuit,2574.2446,14802238.7788,3836.1971,0.583,1.2951,3.3159,0.076
rf,Random Forest Regressor,2488.2842,15241892.2677,3893.418,0.5702,1.119,2.237,2.817
et,Extra Trees Regressor,2507.3196,15244939.5182,3894.84,0.5699,1.1465,2.382,3.646
huber,Huber Regressor,2460.9096,15328454.16,3900.9514,0.5694,1.2279,2.812,0.135
par,Passive Aggressive Regressor,2465.8539,15757652.5929,3954.8492,0.5575,1.2031,2.6167,0.09
en,Elastic Net,2635.6246,16033111.5013,3989.9004,0.5497,1.3069,3.4854,0.068
knn,K Neighbors Regressor,3294.1375,24714851.2,4959.308,0.302,1.5196,4.9905,0.09
dt,Decision Tree Regressor,3405.5012,29744727.1232,5445.9473,0.1535,1.4084,2.5073,0.116
dummy,Dummy Regressor,4259.4415,35646582.0,5952.7093,-0.003,1.9211,11.9124,0.075
ada,AdaBoost Regressor,5319.9245,36723174.8166,6050.0056,-0.059,2.0693,14.3113,0.646
