Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2679.0718,17442078.0349,4176.3714,0.5206,1.144,2.079
1,2487.4698,14044847.4609,3747.6456,0.5381,1.1876,2.3078
2,2653.8312,16925558.1356,4114.0683,0.4594,1.226,2.2711
3,2696.9222,20123741.7623,4485.9494,0.5114,1.1912,2.125
4,2440.8226,14229276.8073,3772.1714,0.5398,1.1899,2.4454
5,2755.9573,18432049.9917,4293.2563,0.5449,1.1819,2.4542
6,2630.9408,18111036.1977,4255.7063,0.547,1.1748,2.2945
7,2538.5544,15359544.7992,3919.1255,0.5627,1.2239,2.4266
8,2347.8622,12107547.6042,3479.5901,0.5355,1.1748,2.3131
9,2700.9122,19759309.5815,4445.1445,0.5467,1.1704,2.0971
Mean,2593.2345,16653499.0375,4068.9029,0.5306,1.1864,2.2814
Std,126.0552,2503878.6559,312.2953,0.0273,0.0231,0.1339
