Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2616.9398,14459873.1235,3802.614,0.6026,1.253,3.2153
1,2472.596,12615279.1802,3551.7994,0.5851,1.3447,4.2646
2,2593.6878,13797122.3859,3714.4478,0.5593,1.2972,3.1825
3,2694.4753,16939586.0535,4115.7728,0.5887,1.3311,3.7738
4,2438.269,12225986.4797,3496.5678,0.6046,1.3444,3.9015
5,2635.4094,15741848.4398,3967.5998,0.6113,1.3708,4.5782
6,2616.8342,15946472.7145,3993.3035,0.6011,1.2853,3.3634
7,2580.7852,14221041.2456,3771.0796,0.5951,1.3314,3.9064
8,2369.6228,11051067.8037,3324.3146,0.5761,1.3319,3.5571
9,2706.0381,18746290.4646,4329.6987,0.57,1.274,3.4047
Mean,2572.4658,14574456.7891,3806.7198,0.5894,1.3164,3.7148
Std,105.0161,2208019.565,288.6886,0.0159,0.0352,0.4359
