Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2611.66,14457001.9765,3802.2364,0.6026,1.2516,3.2066
1,2462.1611,12582421.3674,3547.1709,0.5862,1.3611,4.1444
2,2585.7595,13768990.5402,3710.659,0.5602,1.2689,3.1001
3,2681.8982,16903120.8529,4111.3405,0.5896,1.3444,3.715
4,2427.0815,12219049.7037,3495.5757,0.6048,1.3431,3.7867
5,2627.3283,15711841.3866,3963.8165,0.612,1.3609,4.4638
6,2604.7498,15936481.2671,3992.0523,0.6014,1.2539,3.2676
7,2575.7121,14202941.8232,3768.6791,0.5956,1.317,3.8213
8,2363.8216,11033412.4512,3321.6581,0.5767,1.3208,3.5036
9,2699.3503,18735388.0073,4328.4394,0.5702,1.2709,3.3345
Mean,2563.9522,14555064.9376,3804.1628,0.5899,1.3092,3.6344
Std,104.8628,2207640.2884,288.8085,0.0158,0.0417,0.4151
