Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1461.2818,5480791.2856,2341.109,0.5219,1.074,1.6754
1,1307.6446,4030938.2278,2007.7197,0.5061,1.1647,2.0862
2,1318.9257,4399267.0152,2097.443,0.458,1.102,1.8481
3,1410.6054,4914416.671,2216.8484,0.4545,1.1535,2.1045
4,1261.3184,3835057.2438,1958.3302,0.3775,1.1208,1.8844
5,1274.6135,4046149.3214,2011.5042,0.5749,1.1411,1.9112
6,1406.2886,5312540.677,2304.8949,0.4711,1.1694,1.9898
7,1310.5121,3998859.5981,1999.7149,0.4819,1.1523,2.0546
8,1394.3679,4574232.3277,2138.7455,0.5367,1.1402,1.957
9,1363.0155,4364931.2091,2089.2418,0.5262,1.0661,1.7705
Mean,1350.8574,4495718.3577,2116.5552,0.4909,1.1284,1.9282
Std,62.6275,542855.6767,126.1453,0.0523,0.0348,0.1319
