Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1411.7992,5126933.5076,2264.2733,0.5528,1.1209,1.9028
1,1314.9516,3754581.311,1937.6742,0.54,1.2186,2.4908
2,1236.0383,3768744.8941,1941.3256,0.5357,1.1324,2.1218
3,1348.853,4246444.7257,2060.6904,0.5286,1.2089,2.3435
4,1227.7257,3074166.9191,1753.3302,0.501,1.1708,2.2162
5,1247.864,3908638.0927,1977.0276,0.5893,1.1438,2.1238
6,1360.8676,4451105.6266,2109.7644,0.5568,1.2558,2.4064
7,1257.3444,3553018.911,1884.9453,0.5397,1.2168,2.3048
8,1375.221,4267466.624,2065.7847,0.5678,1.1761,2.2704
9,1326.5255,3943805.9077,1985.9018,0.5719,1.1513,2.148
Mean,1310.719,4009490.652,1998.0717,0.5484,1.1795,2.2328
Std,61.5461,527922.4478,131.1486,0.0238,0.0417,0.16
