Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,1419.5485,5119753.4675,2262.6872,0.5534,1.1044,1.9597
1,1322.1723,3770212.8511,1941.7036,0.5381,1.2174,2.5182
2,1244.9729,3778770.2163,1943.9059,0.5345,1.1458,2.1891
3,1354.3724,4250849.8264,2061.7589,0.5281,1.223,2.3916
4,1237.304,3099856.3404,1760.6409,0.4968,1.2084,2.2803
5,1256.0032,3920252.7614,1979.9628,0.5881,1.1852,2.1738
6,1370.8784,4469247.2075,2114.0594,0.555,1.2954,2.4709
7,1266.2386,3568920.6868,1889.1587,0.5376,1.2259,2.3798
8,1384.636,4279260.0903,2068.6373,0.5666,1.2122,2.3365
9,1333.2061,3953669.1782,1988.3836,0.5708,1.1692,2.2171
Mean,1318.9332,4021079.2626,2001.0898,0.5469,1.1987,2.2917
Std,61.2202,521233.935,129.301,0.0244,0.049,0.1561
