Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2318.7874,12623874.7713,3553.0093,0.6515,1.1211,2.3204
1,2347.8469,12266773.523,3502.3954,0.609,1.0984,2.1591
2,2170.5131,11719358.1873,3423.3548,0.6141,1.1567,2.3363
3,2146.4693,10755661.8419,3279.5826,0.6551,1.0522,2.2592
4,2290.1106,11315581.2498,3363.864,0.6466,1.1193,2.2678
5,2229.2951,10836845.8702,3291.9365,0.6968,1.1941,2.6111
6,2328.759,12655454.2694,3557.4505,0.5822,1.0946,1.9431
7,2241.6957,11875350.2542,3446.063,0.6155,1.1435,2.3759
8,2188.5936,10319987.1331,3212.4737,0.652,1.0922,2.3755
9,2323.6983,11758993.3666,3429.1389,0.6042,1.0539,2.2349
Mean,2258.5769,11612788.0467,3405.9269,0.6327,1.1126,2.2883
Std,69.3675,757313.4092,111.5806,0.0318,0.0421,0.1621
