Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2449.5474,12688051.4911,3562.0291,0.6497,1.3327,5.4351
1,2284.2224,10354692.829,3217.8709,0.6699,1.2744,4.2208
2,2296.5789,11166224.0379,3341.59,0.6323,1.3523,5.9885
3,2261.7081,10430086.2379,3229.5644,0.6655,1.289,4.5141
4,2324.7969,10584153.5695,3253.3296,0.6695,1.3108,5.1674
5,2306.9898,10881159.3212,3298.6602,0.6955,1.4525,5.8479
6,2346.7222,11427800.4273,3380.503,0.6227,1.1921,3.4667
7,2304.8595,11402468.133,3376.7541,0.6308,1.3355,4.7295
8,2235.5178,9886915.3184,3144.3466,0.6666,1.2666,3.991
9,2369.8473,11120372.9335,3334.7223,0.6257,1.2847,4.9197
Mean,2318.079,10994192.4299,3313.937,0.6528,1.3091,4.8281
Std,57.2099,735086.8211,109.6077,0.023,0.0643,0.7688
