isbsg_project_id,project_prf_year_of_project,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_iterative,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_scrum,process_pmf_development_methodologies_spiral,process_pmf_development_methodologies_unified_process,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,tech_tf_client_roles_business_logic_or_rule_processing,tech_tf_client_roles_data_entry_and_validation,tech_tf_client_roles_data_retrieval_and_presentation,tech_tf_client_roles_missing,tech_tf_client_roles_run_a_computer_human_interface,tech_tf_client_roles_security,tech_tf_client_roles_web_public_interface,tech_tf_client_roles_web_html_browser,tech_tf_server_roles_database_server,tech_tf_server_roles_file_print_server,tech_tf_server_roles_ftp_server,tech_tf_server_roles_html_web_server,tech_tf_server_roles_mail_server,tech_tf_server_roles_messaging_server,tech_tf_server_roles_missing,tech_tf_server_roles_multi_user_legacy_application,tech_tf_server_roles_object_component_server,tech_tf_server_roles_security_authentication,external_eef_industry_sector_Service_Industry,project_prf_application_group_Business_Application,project_prf_application_group_Mathematically_Intensive_Application,project_prf_application_group_Missing,project_prf_application_group_Real_Time_Application,project_prf_application_group_business_application,project_prf_application_group_missing,project_prf_development_type_Enhancement,project_prf_development_type_New_Development,project_prf_development_type_Re_development,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_development_platform_Proprietary,tech_tf_language_type_2GL,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_Missing,functional_size_group_L_1000_2999,functional_size_group_M_100_999,functional_size_group_S_100,project_prf_relative_size_L,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XS,project_prf_team_size_group_15_20,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_31_40,project_prf_team_size_group_5_8,project_prf_team_size_group_9_14,project_prf_team_size_group_Missing,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_architecture_Client_server,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_architecture_Stand_alone_1,tech_tf_client_server_Don_t_Know,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Not_Applicable,tech_tf_client_server_Yes,tech_tf_dbms_used_Missing,tech_tf_dbms_used_No,tech_tf_dbms_used_Yes,external_eef_data_quality_rating_A,external_eef_data_quality_rating_B,external_eef_data_quality_rating_C
17786,2007,transport & storage,logistic or supply planning & control,Missing,34.710598,5615.1924,3648.5469,33.65498,24.317316,27.481543,7.7345514,1.4813377,1.9321747,12.830431,17,3,2.477567,3.0,5.0,,1.0,7.175456,10.427367,2.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
30792,2012,transport & storage; wholesale & retail trade,complex process control; workflow support & management,Proprietary Agile Platform,43.692837,81.00014,81.00003,0.40132692,0.6105766,30.919512,5.1433945,10.071473,4.3691974,3.045738,17,0,1.000002,,6.0,0.3119068,2.0,5.568165,33.406868,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
13178,2010,transport & storage,stock control & order processing,APPS,128.92436,2142.143,2445.0405,10.395382,13.879503,12.468647,94.37147,3.255559,2.6993346,8.33958,14,2,3.2003186,3.0,4.0,0.5843169,4.0,5.188448,2.4546509,2.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False
26577,2009,community services,missing,Assembler,194.20601,2243.51,2704.9585,7.22543,10.523886,64.03128,25.521729,3.1727946,6.8026276,8.736214,17,2,3.1223278,2.0,5.0,,1.0,12.749784,28.217718,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
11647,2011,community services; municipality,financial transaction process/accounting,C++,24.737518,141.51723,265.2133,1.6931716,3.183925,51.451496,162.98912,2.743945,1.5060054,3.4496086,15,0,1.2082478,2.0,3.0,0.9818932,2.0,4.460849,,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
25415,2006,transport & storage,financial transaction process/accounting,SQL,107.74783,2789.086,682.58856,15.988805,6.2139544,8.0302105,8.948804,0.9892373,5.799257,10.685653,16,4,1.2427789,1.0,7.0,0.05068407,1.0,7.088895,10.979252,0.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
25546,2010,community services; institutions eg. kindergartens,distribution,Proprietary Agile Platform,126.18962,116.04629,99.9892,2.7256267,2.535175,37.32953,5.1064906,2.1955018,8.970178,4.572614,3,0,1.0438478,1.0,3.0,2.8847847,,3.7965298,,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
28026,2010,transport & storage; wholesale & retail trade,workflow support & management,PL/I,73.97658,1182.6245,1975.9707,7.063612,12.219529,,5.2451596,2.9638402,7.011949,4.7112966,14,3,1.0162807,,6.0,0.05369388,5.0,,14.376756,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
19858,2003,car rental,financial transaction process/accounting,JavaScript,1237.913,8961.635,3407.6035,13.163961,5.3015685,59.653324,142.94191,4.0439553,11.365412,11.122951,15,2,2.9244375,6.0,,1.5833493,,4.148833,27.609653,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15011,2004,community services; government,financial transaction process/accounting,SQL,227.79616,4290.607,4326.4717,14.895922,20.044752,9.283433,18.334318,3.484836,7.2402406,4.375507,9,0,1.4210951,1.0,3.0,0.090412706,1.0,2.8659852,8.203644,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False
