Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3074.8635,22720980.0599,4766.6529,0.6053,1.2275,2.2267
1,2982.737,21320848.6638,4617.4505,0.5901,1.1397,2.1416
2,3153.988,23964771.0797,4895.3826,0.5901,1.1222,1.9846
3,2810.5742,21372905.0048,4623.0839,0.5467,1.1793,2.2089
4,2917.3299,20307797.5164,4506.4174,0.5401,1.1999,2.2872
5,2792.4545,19401375.3068,4404.6992,0.6362,1.1474,2.0556
6,2769.1684,19726339.9982,4441.4345,0.5797,1.1306,1.826
7,3007.6592,23781168.6149,4876.594,0.5884,1.1359,2.0769
8,3109.9514,23842214.1381,4882.849,0.6125,1.236,2.3133
9,2791.9284,19182516.0761,4379.7849,0.6558,1.195,2.1528
Mean,2941.0655,21562091.6458,4639.4349,0.5945,1.1714,2.1274
Std,137.6222,1805753.4333,194.2565,0.0339,0.0396,0.1401
