Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3409.1677,24761225.1227,4976.0652,0.5699,1.3744,3.8127
1,3167.1939,20939247.4749,4575.9422,0.5975,1.3451,3.773
2,3506.8966,24540069.3998,4953.7934,0.5803,1.4051,4.1845
3,3136.6961,20862478.3669,4567.5462,0.5575,1.4401,4.4645
4,3169.6067,19477081.1093,4413.2846,0.5589,1.4257,4.5505
5,3186.1134,22310282.6152,4723.3762,0.5817,1.3462,3.5431
6,3077.8385,19453936.3232,4410.6617,0.5855,1.3794,3.9484
7,3293.3581,24265263.7943,4925.9785,0.5801,1.3434,3.8189
8,3420.7028,26351055.5081,5133.3279,0.5717,1.4209,4.3649
9,3150.3647,21768886.7183,4665.714,0.6093,1.4343,4.1916
Mean,3251.7939,22472952.6433,4734.569,0.5792,1.3914,4.0652
Std,138.6086,2265369.2593,238.3466,0.0152,0.0366,0.318
