Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3402.6373,24646896.9303,4964.5641,0.5719,1.3677,3.7949
1,3163.1698,20921854.3402,4574.0414,0.5978,1.3437,3.7499
2,3503.4889,24490500.5813,4948.7878,0.5811,1.4041,4.1667
3,3137.4198,20882323.403,4569.7181,0.5571,1.4475,4.4538
4,3175.5043,19541983.0592,4420.6315,0.5574,1.416,4.5672
5,3182.7696,22242563.4119,4716.2022,0.583,1.3457,3.5445
6,3078.6934,19461122.229,4411.4762,0.5853,1.392,3.9358
7,3291.9733,24284236.9815,4927.9039,0.5797,1.3515,3.79
8,3420.4336,26318755.3862,5130.1808,0.5722,1.4468,4.3689
9,3150.0783,21747450.5582,4663.4162,0.6097,1.4265,4.186
Mean,3250.6168,22453768.6881,4732.6922,0.5795,1.3942,4.0558
Std,137.1036,2236983.4117,235.3572,0.0155,0.0383,0.3249
